second,idle_count,walking_count,total_count,light,red_violation,bus_waiting
206,0,0,0,red,False,False
207,0,0,0,red,False,False
208,0,0,0,green,False,False
209,0,0,0,yellow,False,False
210,0,0,0,unknown,False,False
211,0,0,0,unknown,False,False
212,0,0,0,unknown,False,False
213,0,0,0,unknown,False,False
214,0,0,0,unknown,False,False
215,0,0,0,unknown,False,False
216,0,0,0,unknown,False,True
217,0,0,0,unknown,False,False
218,0,0,0,unknown,False,False
219,0,0,0,unknown,False,False
220,1,0,1,unknown,False,False
221,3,0,3,red,False,True
222,1,0,1,yellow,False,True
223,0,0,0,red,False,True
224,0,0,0,yellow,False,True
225,0,0,0,red,False,False
226,0,0,0,yellow,False,False
227,1,0,1,green,False,False
228,1,0,1,yellow,False,False
229,1,0,1,unknown,False,True
230,1,0,1,unknown,False,False
231,2,0,2,unknown,False,False
232,3,0,3,unknown,False,False
233,3,0,3,unknown,False,False
234,0,0,0,unknown,False,False
235,2,0,2,unknown,False,False
236,2,1,3,unknown,False,False
237,2,0,2,unknown,False,False
238,0,0,0,unknown,False,False
239,1,0,1,unknown,False,False
240,2,0,2,unknown,False,False
241,0,0,0,unknown,False,False
242,0,0,0,green,False,False
243,0,0,0,red,False,False
244,0,0,0,red,False,False
245,0,0,0,unknown,False,False
246,0,0,0,unknown,False,False
247,0,0,0,unknown,False,False
248,0,0,0,unknown,False,False
249,0,0,0,unknown,False,False
250,2,0,2,unknown,False,False
251,1,0,1,unknown,False,False
252,0,1,1,unknown,False,False
253,1,1,2,unknown,False,False
254,3,0,3,unknown,False,False
255,2,1,3,unknown,False,False
256,2,3,5,red,False,True
257,1,0,1,unknown,False,True
258,2,1,3,yellow,False,False
259,3,1,4,red,False,True
260,4,1,5,unknown,False,False
261,2,0,2,unknown,False,False
262,0,0,0,unknown,False,False
263,1,0,1,unknown,False,False
264,2,0,2,unknown,False,False
265,2,0,2,unknown,False,False
266,0,0,0,unknown,False,False
267,0,0,0,unknown,False,False
268,0,0,0,unknown,False,False
269,0,0,0,unknown,False,False
270,0,0,0,unknown,False,False
271,1,0,1,red,False,False
272,0,1,1,unknown,False,False
273,1,0,1,unknown,False,False
274,2,0,2,unknown,False,False
275,1,0,1,unknown,False,False
276,1,0,1,unknown,False,False
277,0,0,0,unknown,False,False
278,2,0,2,unknown,False,False
279,2,2,4,unknown,False,False
280,4,0,4,unknown,False,False
281,0,0,0,unknown,False,False
282,1,0,1,unknown,False,False
283,2,0,2,unknown,False,True
284,3,0,3,unknown,False,False
285,2,0,2,red,False,True
286,1,0,1,unknown,False,True
287,0,0,0,red,False,True
288,1,0,1,green,False,False
289,2,0,2,unknown,False,False
290,2,0,2,unknown,False,False
291,1,0,1,unknown,False,False
292,0,0,0,unknown,False,False
293,0,0,0,unknown,False,False
294,0,0,0,unknown,False,False
295,1,0,1,unknown,False,False
296,1,0,1,unknown,False,False
297,0,1,1,unknown,False,False
298,1,0,1,unknown,False,False
299,0,0,0,unknown,False,False
300,1,0,1,unknown,False,False
301,0,1,1,red,False,True
302,1,0,1,red,False,True
303,0,0,0,red,False,False
304,0,0,0,unknown,False,False
305,0,0,0,unknown,False,False
306,1,0,1,unknown,False,False
307,2,0,2,unknown,False,False
308,1,0,1,unknown,False,False
309,0,0,0,unknown,False,False
310,0,0,0,unknown,False,False
311,0,0,0,unknown,False,False
312,0,0,0,unknown,False,False
313,0,0,0,unknown,False,False
314,1,0,1,unknown,False,False
315,2,1,3,red,False,False
316,2,2,4,green,False,False
317,4,1,5,unknown,False,False
318,3,1,4,unknown,False,False
319,1,0,1,unknown,False,False
320,3,0,3,unknown,False,False
321,3,0,3,unknown,False,False
322,1,0,1,unknown,False,False
323,0,0,0,unknown,False,False
324,0,0,0,unknown,False,False
325,0,0,0,unknown,False,False
326,0,0,0,unknown,False,False
327,1,0,1,unknown,False,False
328,1,0,1,unknown,False,False
329,1,0,1,unknown,False,False
330,2,0,2,unknown,False,False
331,1,0,1,green,False,False
332,1,0,1,unknown,False,False
333,1,0,1,red,False,False
334,0,0,0,red,False,False
335,0,0,0,red,False,False
336,0,0,0,red,False,False
337,0,0,0,unknown,False,False
338,0,0,0,unknown,False,False
339,0,0,0,unknown,False,False
340,0,0,0,unknown,False,False
341,0,0,0,unknown,False,False
342,0,0,0,unknown,False,False
343,0,0,0,unknown,False,False
344,1,0,1,unknown,False,False
345,3,0,3,unknown,False,False
346,2,0,2,unknown,False,False
347,0,0,0,yellow,False,False
348,0,0,0,unknown,False,False
349,0,0,0,unknown,False,False
350,0,0,0,unknown,False,False
351,0,0,0,red,False,False
352,0,0,0,red,False,False
353,0,0,0,unknown,False,False
354,0,0,0,unknown,False,False
355,1,0,1,unknown,False,False
356,0,1,1,unknown,False,False
357,1,0,1,unknown,False,False
358,0,0,0,unknown,False,False
359,0,0,0,unknown,False,False
360,0,0,0,unknown,False,False
361,0,0,0,unknown,False,False
362,0,0,0,unknown,False,False
