second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting
0,1,0,1,0.6508670794838447,unknown,False,False
1,2,0,2,0.9982791347549441,unknown,False,False
2,2,1,3,1.6729184314126007,unknown,False,False
3,1,0,1,1.8434890334419947,unknown,False,False
4,0,0,0,1.628956806398577,unknown,False,False
5,0,0,0,1.7618078014952658,unknown,False,False
6,1,0,1,2.6240000943914694,unknown,False,False
7,1,0,1,1.1521722551401388,unknown,False,False
8,0,0,0,0.8051500288928235,unknown,False,False
9,1,0,1,1.2453142361366534,unknown,False,False
10,0,0,0,2.219846625632221,unknown,False,False
11,0,0,0,1.68545989760428,unknown,False,False
12,0,0,0,1.604824991165546,unknown,False,False
13,0,0,0,0.47924426972229267,unknown,False,False
14,0,0,0,1.1445105838401057,unknown,False,False
15,0,0,0,0.8517587403009101,unknown,False,False
16,0,0,0,1.015048802675649,unknown,False,False
17,0,0,0,1.6031673334284648,unknown,False,False
18,0,0,0,1.6132092887712233,unknown,False,False
19,0,0,0,1.335453030042663,unknown,False,False
20,0,0,0,0.908996647533512,unknown,False,False
21,1,0,1,0.8426961606651058,unknown,False,False
22,1,1,2,1.3739205668233903,unknown,False,False
23,0,1,1,2.1742830789280307,unknown,False,False
24,0,0,0,1.4802297988071873,unknown,False,False
25,0,0,0,2.076617807340053,unknown,False,False
26,0,0,0,2.0964227182645194,unknown,False,False
27,0,0,0,0.6987165102055266,unknown,False,False
28,0,0,0,0.5788525897409086,unknown,False,False
29,1,0,1,0.979903037307078,unknown,False,False
30,1,0,1,2.4735436600239225,unknown,False,False
31,1,0,1,2.510579668654136,unknown,False,False
32,1,0,1,1.9419677187375495,unknown,False,False
33,1,0,1,0.6569323009249286,unknown,False,False
34,1,0,1,0.714641878066663,unknown,False,False
35,0,0,0,0.8960410856572402,unknown,False,False
36,1,0,1,1.1768883339244829,unknown,False,False
37,0,0,0,0.7992524331623722,unknown,False,False
38,2,0,2,0.25241115194657954,unknown,False,False
39,1,1,2,0.5495863344089478,unknown,False,False
40,0,0,0,1.2907920548814573,unknown,False,False
41,1,0,1,1.2606021521654494,yellow,False,False
42,1,0,1,0.2934901084065792,yellow,False,False
43,3,0,3,1.6232327117632899,unknown,False,False
44,1,0,1,1.000497010668778,red,False,False
45,0,0,0,0.8229523875421555,red,False,False
46,0,0,0,0.5476864492975512,red,False,True
47,1,0,1,0.6239992350786119,red,False,True
48,1,0,1,1.1009386971725585,red,False,False
49,2,0,2,0.457606995009725,red,False,False
50,0,1,1,0.46083381613359714,unknown,False,False
51,0,0,0,0.5698857487425655,unknown,False,False
52,0,0,0,0.662242678847868,unknown,False,False
53,0,0,0,1.295834531896567,unknown,False,False
54,0,0,0,1.6257357151401732,unknown,False,False
55,0,0,0,1.3237960042603223,unknown,False,False
56,0,0,0,3.593973069987488,unknown,False,False
57,0,0,0,4.0242632625869295,unknown,False,False
58,0,0,0,1.5685274505892064,unknown,False,False
59,0,0,0,0.42206431906565106,unknown,False,False
60,0,0,0,0.0,unknown,False,False
61,0,0,0,0.0,unknown,False,False
62,0,0,0,0.0,unknown,False,False
63,0,0,0,0.0,unknown,False,False
64,0,0,0,0.0,unknown,False,False
65,0,0,0,0.0,green,False,False
66,2,0,2,0.0,green,False,False
67,1,1,2,0.0,unknown,False,False
68,1,0,1,0.0,unknown,False,True
69,2,0,2,0.0,unknown,False,False
70,0,1,1,0.06791112304509128,unknown,False,False
71,0,0,0,0.28500048780337567,unknown,False,False
72,0,0,0,0.2587048440846496,unknown,False,False
73,0,0,0,0.23885746126742277,unknown,False,False
74,0,0,0,0.3389221094057731,unknown,False,False
75,0,0,0,0.7015958500724044,unknown,False,False
76,0,0,0,0.26373126383901613,unknown,False,False
77,0,0,0,0.0,green,False,False
78,1,0,1,0.17593392368246824,yellow,False,False
79,1,0,1,0.2095427721017431,red,False,False
80,0,0,0,0.8610886436856342,unknown,False,False
81,0,0,0,1.2603754182475904,unknown,False,False
82,0,0,0,1.1246547850004598,unknown,False,False
83,0,0,0,0.03684876685066268,unknown,False,False
84,1,0,1,0.0,unknown,False,True
85,1,0,1,0.0,unknown,False,True
86,0,0,0,0.0,unknown,False,True
87,0,0,0,0.6630188835549615,unknown,False,False
88,0,0,0,0.4696636653634895,unknown,False,False
89,1,0,1,0.29707964956563704,unknown,False,False
90,1,0,1,0.8322908721037665,yellow,False,False
91,1,0,1,1.1421669022620082,green,False,True
92,0,0,0,0.5081951833755002,yellow,False,False
93,0,0,0,0.3772477438269844,red,False,True
94,0,0,0,0.0,yellow,False,True
95,1,0,1,0.0,unknown,False,False
96,0,1,1,0.908646188767266,unknown,False,False
97,0,0,0,0.5458898461894619,unknown,False,False
98,0,0,0,0.4135607929890329,unknown,False,False
99,0,0,0,0.6420882661694254,unknown,False,False
100,0,0,0,1.3187401888559995,unknown,False,False
101,0,0,0,2.0990560814662205,unknown,False,False
102,0,0,0,1.2083752369103982,unknown,False,False
103,2,0,2,0.6037782035553773,unknown,False,False
104,3,0,3,0.0,unknown,False,False
105,4,0,4,0.0,unknown,False,False
106,1,0,1,0.5361424841042528,red,False,False
107,1,0,1,0.5261447971765445,red,False,False
108,1,0,1,0.6855796191573573,red,False,False
109,0,0,0,1.8027052586399033,red,False,False
110,0,0,0,2.342149357545018,red,False,False
111,0,0,0,2.861588422459376,red,False,False
112,0,0,0,4.091958757993172,unknown,False,False
113,0,0,0,0.0,unknown,False,False
114,0,0,0,0.0,red,False,False
115,0,0,0,0.0,red,False,False
116,0,0,0,0.0,unknown,False,False
117,0,0,0,0.0,unknown,False,False
118,0,0,0,0.0,unknown,False,False
119,0,0,0,0.0,unknown,False,False
120,0,0,0,0.0,unknown,False,False
121,1,0,1,0.0,unknown,False,False
122,1,1,2,0.0,unknown,False,False
123,2,1,3,0.0,unknown,False,False
124,1,1,2,0.4561540362865107,unknown,False,False
125,0,1,1,0.48172637397841456,red,False,False
126,2,0,2,1.3667989590462897,unknown,False,False
127,2,0,2,1.2156192815062554,red,False,False
128,2,0,2,0.4694710786676729,red,False,False
129,2,0,2,0.6157830526516229,red,False,False
