second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,0.3761923210824477,unknown,False,False,0,0,7,0
1,0,0,0,0.29483638788617356,unknown,False,False,0,0,4,0
2,0,0,0,0.3005564253952056,unknown,False,False,0,0,5,0
3,0,0,0,0.24231771100929747,unknown,False,False,0,0,6,0
4,0,0,0,0.2809966279033067,unknown,False,False,0,0,4,0
5,0,0,0,0.3860919411702013,unknown,False,False,0,0,8,0
6,0,0,0,0.5522617010002405,red,False,False,0,0,7,0
7,0,0,0,0.4117075497220789,unknown,False,False,0,0,4,0
8,0,0,0,0.3332653959326173,unknown,False,False,0,0,7,0
9,0,0,0,0.26494905199712876,red,False,False,0,0,6,0
10,0,0,0,0.17515608263952753,red,False,True,0,0,4,0
11,0,0,0,0.2096916113561366,red,False,True,1,0,4,0
12,1,0,1,0.32526258616574866,red,False,False,1,0,5,0
13,2,0,2,0.2741312781713968,red,False,False,1,0,6,0
14,1,0,1,0.33538402179955923,red,False,False,2,0,5,0
15,2,0,2,0.3039703089630124,red,False,False,0,0,7,0
16,2,0,2,0.5795007444462359,unknown,False,False,0,0,7,0
17,1,0,1,0.9555862401860064,unknown,False,False,0,0,4,0
18,0,0,0,0.6359807521317371,unknown,False,False,0,0,6,0
19,0,0,0,0.7977352113634878,unknown,False,False,0,0,4,0
20,0,0,0,0.4903584777345813,unknown,False,False,0,0,5,0
21,0,0,0,0.49413274374941096,unknown,False,False,0,0,5,0
22,0,0,0,0.7396677685109667,red,False,False,0,0,3,0
23,0,0,0,1.0862350901194289,unknown,False,False,0,0,4,0
24,0,0,0,0.6316476627041343,unknown,False,False,0,0,4,0
25,0,0,0,0.39829428885284346,unknown,False,False,0,0,2,0
26,0,0,0,0.4339711513335566,unknown,False,False,0,0,4,0
27,0,0,0,0.5443486180533113,unknown,False,False,0,0,2,0
28,0,0,0,0.4063795865906239,unknown,False,False,0,0,2,0
29,0,0,0,0.22496757387484978,unknown,False,False,0,0,3,0
30,0,0,0,0.413826384763874,unknown,False,False,1,0,2,0
31,0,1,1,0.4457412072069804,unknown,False,False,1,1,2,0
32,1,1,2,0.5551612903016243,unknown,False,False,2,0,1,0
33,2,0,2,0.6271612656403794,red,False,False,0,0,1,0
34,0,0,0,0.5069748483274006,red,False,False,0,0,4,0
35,1,0,1,1.0947764061520042,red,False,False,0,0,2,0
36,1,0,1,0.7608995722390188,unknown,False,False,0,0,3,0
37,0,0,0,0.45386307415238136,unknown,False,True,2,1,2,0
38,0,0,0,0.3497916795405368,unknown,False,False,1,0,1,0
39,1,0,1,0.350451463383625,unknown,False,False,1,0,0,0
40,0,0,0,0.2198730379272621,unknown,False,False,0,0,0,0
41,0,0,0,0.0,unknown,False,False,0,0,0,0
42,0,0,0,0.0,unknown,False,False,1,0,0,0
43,1,0,1,0.0,unknown,False,False,1,0,0,0
44,2,0,2,0.0,unknown,False,False,2,0,0,0
45,2,0,2,0.0,unknown,False,False,1,0,0,0
46,2,1,3,0.0,unknown,False,False,2,0,0,0
47,3,0,3,0.0,unknown,False,False,3,0,1,0
48,2,1,3,0.6102239517451584,unknown,False,False,2,0,3,0
49,2,0,2,0.7626240512812967,red,False,False,2,0,5,0
50,2,0,2,0.843714704939054,red,False,False,2,0,4,0
51,1,0,1,1.0302217499342912,red,False,False,0,0,3,0
52,1,0,1,0.684132370330531,unknown,False,False,0,0,2,0
53,0,0,0,0.4947375652262207,unknown,False,False,0,0,2,0
54,0,0,0,0.4559407893267925,unknown,False,False,0,0,2,0
55,0,0,0,0.16988856607833086,unknown,False,False,0,0,2,0
56,0,0,0,0.13622533025916184,unknown,False,False,0,0,1,0
57,0,0,0,0.06627194158457772,unknown,False,False,0,0,0,0
58,0,0,0,0.0,unknown,False,False,0,0,0,0
59,1,0,1,0.5431353354556927,unknown,False,False,4,0,1,0
60,4,0,4,0.3194473580632734,unknown,False,False,2,0,0,0
61,3,0,3,0.40881795454074565,unknown,False,False,0,0,1,0
62,3,0,3,0.7006861840943458,red,False,False,1,0,4,0
63,1,0,1,0.9948806637143436,red,False,False,0,0,2,0
64,1,0,1,0.8407996276120979,red,False,False,0,0,1,0
65,1,0,1,0.8851683925246849,unknown,False,False,1,0,1,0
66,2,0,2,0.8496419110738311,unknown,False,False,1,0,0,0
67,1,0,1,0.6234784617937127,unknown,False,False,0,0,0,0
68,0,1,1,0.33074272404052274,unknown,False,False,1,0,1,0
69,1,1,2,0.3127136043317992,unknown,False,False,0,0,1,0
70,1,0,1,1.6131736946755622,unknown,False,False,0,0,1,0
71,0,0,0,2.2871811987832396,unknown,False,False,2,0,3,0
72,3,0,3,0.5181238081803098,unknown,False,False,3,0,1,0
73,3,0,3,0.24696074259520415,unknown,False,False,1,0,1,0
74,2,1,3,0.1288542073522961,unknown,False,False,4,0,1,0
75,3,1,4,0.10552876078712667,unknown,False,False,4,0,1,0
76,4,1,5,0.252229663383487,unknown,False,False,2,0,2,0
77,4,0,4,0.7489490273144248,red,False,False,1,0,4,0
78,2,0,2,0.8297275810792577,unknown,False,True,1,1,4,0
79,2,0,2,0.40992425615319233,green,False,True,2,1,6,0
80,2,0,2,0.3969907642994901,green,False,True,1,1,8,0
81,1,0,1,0.6474510913408404,green,False,True,1,1,8,0
82,1,0,1,0.8224510969727504,red,False,True,1,1,6,0
83,2,0,2,0.6674419011825501,red,False,True,2,0,4,0
84,2,0,2,1.3127904640331074,red,False,True,1,2,6,0
85,2,0,2,1.170650242410792,red,False,True,2,2,5,0
86,2,0,2,0.572986434548013,red,False,True,2,1,2,0
87,2,0,2,0.9929282324492074,red,False,True,2,2,4,0
88,3,0,3,0.3916085282689258,red,False,True,1,2,4,0
89,2,0,2,0.21791128971272902,red,False,True,2,2,4,0
90,4,0,4,0.3274895162672514,red,False,True,3,1,8,0
91,4,0,4,0.2579966323283692,red,False,True,3,1,8,0
92,4,0,4,0.3321166802540846,green,False,True,4,1,5,0
93,4,0,4,0.43122072660333827,red,False,True,3,3,4,0
94,4,1,5,0.37675668453233657,red,False,True,4,3,1,0
95,3,1,4,0.5320001145463464,unknown,False,True,5,2,4,0
96,4,0,4,0.7757250766052031,unknown,False,True,1,4,0,0
97,2,0,2,0.6735700281122698,unknown,False,False,0,2,1,0
98,1,0,1,0.16884084511418818,red,False,True,1,3,2,0
99,0,0,0,0.056485677782142744,unknown,False,True,1,2,3,0
100,0,1,1,0.28948574180205167,unknown,False,True,1,1,2,2
101,1,1,2,0.38079954742536865,unknown,False,False,2,0,3,3
102,3,0,3,0.8694716190267022,unknown,False,False,0,0,2,0
103,1,0,1,1.0580480672217645,unknown,False,False,1,0,3,0
104,1,0,1,0.8432874818686905,unknown,False,False,2,0,1,0
105,4,0,4,0.5632053132856559,unknown,False,False,2,0,0,0
106,4,0,4,0.0,unknown,False,False,4,0,1,0
107,3,1,4,0.4755201269526266,unknown,False,False,2,0,2,0
108,5,0,5,0.5496954263674294,unknown,False,False,3,0,5,0
109,4,0,4,0.6745090743912094,unknown,False,False,2,0,6,0
110,5,0,5,0.6486770914581056,unknown,False,False,2,1,6,0
111,3,1,4,0.5470977960758547,red,False,True,3,1,7,0
112,6,0,6,0.6484213476538319,red,True,True,4,0,8,0
113,5,0,5,0.6084167066788918,red,False,True,5,1,8,0
114,5,0,5,0.628055430080425,red,True,True,4,1,5,0
115,5,0,5,0.5047668019238897,red,False,True,3,1,6,0
116,5,0,5,0.3563252333027036,yellow,False,True,5,1,6,0
117,8,0,8,0.2716027147597952,red,True,True,4,1,6,0
118,9,0,9,0.3258743049785727,red,True,True,7,1,5,0
119,9,0,9,0.45855503069284387,yellow,True,True,7,1,7,0
120,7,0,7,0.45177244261314303,red,True,True,6,1,5,0
121,5,0,5,0.5501101649445078,red,True,True,4,0,7,0
122,6,0,6,0.440205674632925,red,True,True,7,1,6,1
123,7,0,7,0.36482423338438796,red,True,True,6,1,6,0
124,8,0,8,0.24175310790127202,yellow,True,True,7,0,7,0
125,7,0,7,0.4350085849940425,yellow,True,True,6,1,6,0
126,7,0,7,0.4961991833267332,red,True,True,5,1,6,0
127,6,0,6,0.5761592358448002,red,True,True,3,1,7,0
128,6,0,6,0.6415530745350974,unknown,False,True,2,1,3,0
129,7,0,7,1.04806478876589,red,True,True,4,1,3,0
130,4,0,4,0.7606120818889496,unknown,False,True,1,2,2,0
131,2,0,2,0.31772272117775585,unknown,False,False,1,2,1,0
132,1,0,1,0.14966098802583122,unknown,False,False,1,1,1,0
133,2,0,2,0.18857508031868528,unknown,False,False,3,1,1,1
134,3,0,3,0.13844718974731587,unknown,False,False,2,0,2,0
135,4,1,5,0.21262755908050984,unknown,False,False,1,0,2,0
136,3,0,3,0.18679168569136764,unknown,False,False,3,0,2,0
137,1,1,2,0.10702628006308626,unknown,False,False,1,1,3,2
138,2,1,3,0.14470064003633246,unknown,False,False,1,1,2,0
139,1,0,1,0.1624040071018009,yellow,False,False,0,1,0,0
140,1,0,1,0.298823166328143,unknown,False,False,1,2,1,0
141,0,0,0,0.24950058724022084,unknown,False,False,0,1,1,0
142,1,0,1,0.5627867813972299,red,False,True,0,1,3,0
143,0,0,0,0.7204661495175028,unknown,False,True,2,0,4,0
144,1,0,1,0.6025463601379066,unknown,False,False,4,0,4,1
145,2,0,2,0.8020307347598802,unknown,False,False,5,0,2,0
146,6,0,6,0.1437509100583401,unknown,False,False,2,0,1,0
