second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting
0,2,0,2,0.0,unknown,False,False
1,2,0,2,0.0,unknown,False,False
2,3,0,3,0.0,unknown,False,False
3,4,0,4,0.0,unknown,False,False
4,3,0,3,0.0,unknown,False,False
5,1,0,1,0.0,unknown,False,False
6,0,0,0,0.0,unknown,False,False
7,0,0,0,0.0,unknown,False,False
8,0,0,0,0.0,unknown,False,False
9,1,0,1,0.0,unknown,False,False
10,1,0,1,0.0,unknown,False,False
11,2,0,2,0.0,unknown,False,False
12,2,0,2,0.0,unknown,False,False
13,1,0,1,0.0,unknown,False,False
14,1,0,1,0.0,unknown,False,False
15,0,0,0,0.0,unknown,False,False
16,0,0,0,0.0,unknown,False,False
17,0,0,0,0.0,unknown,False,False
18,0,0,0,0.0,unknown,False,False
19,0,0,0,0.0,unknown,False,False
20,0,0,0,0.0,unknown,False,False
21,0,0,0,0.0,unknown,False,False
22,0,0,0,0.0,unknown,False,False
23,0,0,0,0.0,unknown,False,False
24,1,0,1,0.0,unknown,False,False
25,1,0,1,0.0,unknown,False,False
26,2,0,2,0.0,unknown,False,False
27,2,0,2,0.0,unknown,False,False
28,0,0,0,0.0,unknown,False,False
29,0,0,0,0.0,unknown,False,False
30,0,0,0,0.0,unknown,False,False
31,0,0,0,0.0,unknown,False,False
32,0,0,0,0.0,unknown,False,False
33,0,0,0,0.0,unknown,False,False
34,0,0,0,0.0,unknown,False,False
35,0,0,0,0.0,unknown,False,False
36,0,0,0,0.1271467217608303,unknown,False,False
37,0,0,0,0.0,unknown,False,False
38,0,0,0,0.0,unknown,False,False
39,0,0,0,0.6841543687632883,unknown,False,False
40,0,0,0,0.5473234950106306,unknown,False,False
41,0,0,0,0.06863564312356746,unknown,False,False
42,0,0,0,0.0,unknown,False,False
43,1,0,1,0.0,unknown,False,False
44,2,0,2,0.0,unknown,False,False
45,2,0,2,0.0,unknown,False,False
46,2,0,2,0.0,unknown,False,False
47,2,0,2,0.0,unknown,False,False
48,2,0,2,0.0,unknown,False,False
49,1,1,2,0.0,unknown,False,False
50,3,0,3,0.0,unknown,False,False
51,2,0,2,0.0,unknown,False,False
52,2,0,2,0.0,unknown,False,False
53,2,0,2,0.0,unknown,False,False
54,2,0,2,0.0,unknown,False,False
55,2,0,2,0.0,unknown,False,False
56,1,0,1,0.0,unknown,False,False
57,1,0,1,0.0,unknown,False,False
58,1,0,1,0.0,unknown,False,False
59,0,0,0,0.0,unknown,False,False
60,0,0,0,0.0,unknown,False,False
61,0,0,0,0.0,unknown,False,False
62,0,0,0,0.0,unknown,False,False
63,0,0,0,0.0,unknown,False,False
64,1,0,1,0.0,unknown,False,False
65,2,0,2,0.0,unknown,False,False
66,3,0,3,0.0,unknown,False,False
67,2,0,2,0.0,unknown,False,False
68,2,0,2,0.0,unknown,False,False
69,2,0,2,0.0,unknown,False,False
70,2,0,2,0.2528073667416061,unknown,False,False
71,2,0,2,0.0,unknown,False,False
72,2,0,2,0.0,unknown,False,False
73,2,0,2,0.0,unknown,False,False
74,2,0,2,1.4155446648029257,unknown,False,False
75,3,0,3,0.9060483137492457,unknown,False,False
76,3,0,3,0.0,unknown,False,False
77,3,0,3,0.0,unknown,False,False
78,5,0,5,0.0,unknown,False,False
79,3,0,3,0.0,unknown,False,False
80,3,0,3,0.0,unknown,False,False
81,4,0,4,0.0,unknown,False,False
82,5,0,5,0.0,unknown,False,False
83,6,0,6,0.0,unknown,False,False
84,5,0,5,0.0,unknown,True,False
85,6,0,6,0.20181508990849759,unknown,False,False
86,7,0,7,0.2844374246220115,unknown,False,False
87,7,0,7,0.2407275564190597,unknown,False,False
88,5,0,5,0.0,unknown,False,False
89,8,0,8,0.0,unknown,False,False
90,8,0,8,0.0,unknown,False,False
91,6,0,6,0.09777602286573017,unknown,True,False
92,6,0,6,0.06576255789777288,unknown,True,False
93,6,0,6,0.0,unknown,False,False
94,7,0,7,0.0,unknown,False,False
95,6,0,6,0.0,unknown,False,False
96,7,0,7,0.0,unknown,False,False
97,7,0,7,0.0,unknown,False,False
98,7,0,7,0.0,unknown,True,True
99,8,0,8,0.0,unknown,False,False
100,8,0,8,0.0,unknown,False,False
101,5,1,6,0.0,unknown,True,True
102,5,0,5,0.2775439120602613,unknown,False,False
103,5,0,5,0.21227937586123743,unknown,False,False
104,4,0,4,0.054269810785714655,unknown,False,False
105,3,0,3,0.0,unknown,False,False
106,5,0,5,0.0,unknown,False,False
107,5,0,5,0.0,unknown,False,False
108,4,0,4,0.825818387294866,unknown,False,False
109,5,0,5,0.526504497229959,unknown,False,False
110,8,0,8,0.0,unknown,False,False
111,7,0,7,0.0,unknown,False,False
112,4,0,4,0.0,unknown,False,False
113,3,0,3,0.0,unknown,False,False
114,3,0,3,0.0,unknown,False,False
115,3,0,3,0.0,unknown,False,False
116,3,0,3,0.0,unknown,False,False
117,3,0,3,0.0,unknown,False,False
118,3,0,3,0.0,unknown,False,False
119,3,0,3,0.0,unknown,False,False
120,4,0,4,0.0,red,False,False
121,5,0,5,0.0,unknown,False,False
122,3,0,3,0.0,unknown,False,False
123,3,0,3,0.0,unknown,False,False
124,3,0,3,0.0,red,False,False
125,4,0,4,0.0,unknown,False,False
126,4,0,4,0.0,unknown,False,False
127,4,0,4,0.0,unknown,False,False
128,3,0,3,0.0,unknown,False,False
129,3,0,3,0.0,unknown,False,False
130,2,0,2,0.0,unknown,False,False
131,2,0,2,0.0,unknown,False,False
132,1,0,1,0.0,unknown,False,False
133,1,0,1,0.0,unknown,False,False
134,2,0,2,0.0,unknown,False,False
135,1,1,2,0.0,unknown,False,False
136,0,0,0,0.0,unknown,False,False
137,0,0,0,0.0,unknown,False,False
138,0,0,0,0.0,unknown,False,False
139,0,0,0,0.0,unknown,False,False
140,2,0,2,0.0,unknown,False,False
141,2,0,2,0.0,unknown,False,False
142,2,0,2,0.41970258514075337,unknown,False,True
143,1,0,1,0.5870422181161808,unknown,False,False
144,2,0,2,0.0,unknown,False,False
145,2,0,2,0.0,unknown,False,True
146,1,0,1,0.886767384674882,unknown,False,True
147,1,0,1,1.134754220548621,unknown,False,False
148,5,0,5,1.817509926991417,unknown,False,False
149,4,0,4,1.7065383528232805,unknown,False,True
150,4,0,4,1.7805188846034465,green,False,False
151,4,0,4,0.0,unknown,False,True
152,4,0,4,0.6724643317187823,red,False,True
153,4,0,4,0.596185201520052,red,False,True
154,4,0,4,1.3830718031959615,green,False,True
155,3,0,3,0.6989258231222234,unknown,False,True
156,3,0,3,0.3696386928539593,unknown,False,True
157,3,0,3,0.8194339374718873,green,False,True
158,3,0,3,1.343206077004816,red,False,True
159,3,0,3,1.1594753497735304,red,False,True
160,3,0,3,1.9300187524988448,unknown,False,True
161,3,0,3,1.9581739288352016,red,False,True
162,6,0,6,1.19519146174988,red,True,True
163,6,0,6,0.6414585993398604,red,True,True
164,5,0,5,0.7416546002749527,red,True,True
165,6,0,6,0.7537938979145474,red,True,True
166,6,0,6,0.7139292971061634,red,True,True
167,7,0,7,0.6961235707056641,unknown,True,True
168,8,0,8,0.7987346701413492,green,True,True
169,13,0,13,0.9976689150031202,green,True,False
170,12,0,12,0.8329664456429532,red,True,True
171,12,1,13,0.8990725167221143,red,True,True
172,7,1,8,0.35350055273024494,unknown,True,False
173,5,0,5,0.24586859001473185,unknown,False,False
174,5,0,5,0.0,unknown,False,False
175,4,0,4,0.0,unknown,False,False
176,4,0,4,0.0,unknown,False,False
177,3,0,3,0.0,unknown,False,False
178,5,0,5,0.0,unknown,False,False
179,5,0,5,0.0,unknown,False,False
180,6,0,6,0.0,unknown,False,False
181,3,1,4,0.0,unknown,False,True
182,4,0,4,0.0,unknown,False,False
183,3,0,3,0.0,unknown,False,False
184,0,0,0,0.9556081521298267,red,False,False
185,3,0,3,1.1325098978849348,red,False,False
186,3,0,3,1.1483349484667447,red,False,False
187,3,0,3,0.9835825886502021,unknown,False,False
188,1,1,2,0.6173058034210378,unknown,False,False
189,1,0,1,0.4766304746481549,yellow,False,False
190,1,0,1,0.0,unknown,False,False
191,0,0,0,0.0,unknown,False,False
192,0,0,0,0.0,unknown,False,False
193,1,0,1,0.0,unknown,False,False
194,5,0,5,0.0,unknown,False,False
195,5,2,7,0.0,unknown,False,False
196,10,0,10,0.9037341214362676,unknown,False,False
197,6,1,7,0.8446734371654483,unknown,False,False
198,4,0,4,0.20940042861252484,unknown,False,False
199,3,0,3,0.836178106549642,unknown,False,False
200,1,0,1,1.1707119644325241,green,False,False
201,0,0,0,0.5654058603968616,green,False,False
202,0,0,0,0.6069239951421005,green,False,False
203,0,0,0,0.6142494855559562,green,False,False
204,0,0,0,0.581011631387563,green,False,False
205,0,0,0,1.029922608984763,green,False,False
206,0,0,0,1.2154935102978346,green,False,False
207,0,0,0,0.9669225029870875,green,False,False
208,0,0,0,0.5366551943209981,green,False,False
209,0,0,0,0.44795068868544163,green,False,False
210,1,0,1,0.4225032952832349,green,False,False
211,1,0,1,0.9259747501089517,green,False,False
212,1,0,1,1.1617268256224158,green,False,False
213,1,0,1,0.8665511213226128,green,False,False
214,0,0,0,0.5433524312099332,green,False,False
215,1,0,1,0.5732080430888239,green,False,False
216,1,0,1,0.6033697660657761,green,False,False
217,1,0,1,1.023731781327613,green,False,False
218,1,0,1,1.0298269163835805,green,False,False
219,1,0,1,0.6146182475562171,green,False,False
220,1,0,1,0.7446144811393139,green,False,False
221,1,0,1,1.575888816964366,green,False,False
222,1,0,1,1.585241082186021,green,False,False
223,1,0,1,1.0372944335686756,green,False,False
224,1,0,1,0.35230453595527866,green,False,False
225,1,0,1,0.4208901522831853,red,False,False
226,1,0,1,0.8821098736758064,red,False,False
227,2,0,2,0.7705453586733725,red,False,False
228,2,0,2,0.3689738589653789,yellow,False,False
229,2,0,2,0.46901823531282555,yellow,False,False
230,2,0,2,0.6728073223042764,unknown,False,False
231,3,0,3,0.739420568983115,unknown,False,False
232,3,0,3,0.9192734029306727,unknown,False,False
233,3,0,3,0.9707654648994198,unknown,False,False
234,3,0,3,0.5468343980834094,unknown,False,True
235,3,0,3,0.2871237729941885,green,False,False
236,3,0,3,0.39939176295663775,green,False,False
237,5,0,5,0.49724356454240964,unknown,False,False
238,8,0,8,0.4377973059172453,red,True,False
239,10,2,12,0.5317985184083216,red,True,True
240,8,3,11,0.2196844739104181,unknown,True,True
241,6,1,7,0.13917691857562947,unknown,False,False
242,4,0,4,0.18169895382815615,unknown,False,False
243,0,0,0,0.0,unknown,False,False
244,0,0,0,0.0,unknown,False,False
245,1,0,1,0.0,unknown,False,True
246,1,0,1,0.0,unknown,False,False
247,0,1,1,0.17207318356089327,unknown,False,False
248,1,0,1,0.2066318128577146,unknown,False,False
249,1,0,1,0.1159063442244735,unknown,False,False
250,0,0,0,0.873394634683542,unknown,False,False
251,0,0,0,0.6499792593726481,unknown,False,False
252,0,0,0,0.0,unknown,False,False
253,0,0,0,0.0,unknown,False,False
254,0,0,0,0.21663252228753777,unknown,False,False
255,0,0,0,0.26781380052131176,green,False,False
256,0,0,0,0.23393642350806157,green,False,False
257,1,0,1,0.3584410148364998,red,False,False
258,0,0,0,0.15951813216801383,red,False,True
259,1,0,1,0.11889130534667632,red,False,False
260,1,0,1,0.3507348683506435,red,False,False
261,1,0,1,0.5337966838963578,red,False,False
262,0,0,0,0.6421905932880213,red,False,False
263,1,0,1,0.9893254605995694,red,False,False
264,1,0,1,1.2531674943804856,unknown,False,True
265,1,0,1,1.1602699240101724,red,False,False
266,1,0,1,1.0365459875649043,red,False,True
267,0,0,0,0.9397947278558239,red,False,False
268,0,0,0,0.9257244982089912,red,False,False
269,0,0,0,0.8435829056916225,red,False,False
270,0,0,0,0.9779449732612377,red,False,False
271,0,0,0,1.8415699711297946,red,False,False
272,1,0,1,0.7199270412085721,red,False,True
273,1,0,1,0.40196709311790774,red,False,False
274,1,0,1,0.7174954502494775,red,False,True
275,0,0,0,0.20189637688036424,red,False,False
276,4,0,4,0.3719310330931636,red,False,False
277,4,0,4,0.5278807656106699,unknown,False,False
278,5,0,5,0.4706682714671627,red,True,False
279,5,0,5,0.7886029345740198,red,True,False
280,5,0,5,0.773013721878835,unknown,True,False
281,2,0,2,0.6644358362853217,unknown,False,False
282,0,0,0,0.41243912339559585,unknown,False,False
283,0,0,0,0.15188844299523657,unknown,False,False
284,0,0,0,0.10669831464847578,unknown,False,False
285,0,0,0,0.0,unknown,False,False
286,0,0,0,0.0,unknown,False,False
287,0,0,0,0.0,unknown,False,False
288,0,0,0,0.0,unknown,False,False
289,2,0,2,0.0,unknown,False,False
290,4,0,4,0.3772502410053553,unknown,False,False
291,3,0,3,0.33528198323648073,unknown,False,False
292,2,0,2,0.09304848314622648,unknown,False,False
293,0,0,0,0.4621160789223349,unknown,False,False
294,0,0,0,0.9086372078533497,unknown,False,False
295,0,0,0,0.8073331888471371,unknown,False,False
296,1,0,1,0.6447496074450026,yellow,False,False
297,1,0,1,0.7037988999254049,yellow,False,False
298,1,0,1,0.44585298017160124,yellow,False,False
299,1,0,1,0.6319627896346791,yellow,False,False
300,1,0,1,0.8661636990615053,red,False,False
301,1,0,1,0.6291977745564588,red,False,False
302,1,0,1,0.6365352605878524,red,False,False
303,1,0,1,0.42790504343517555,red,False,True
304,3,0,3,0.49609585661002803,unknown,False,False
305,2,0,2,0.539229565993473,yellow,False,False
306,2,1,3,0.46615524515424606,unknown,False,False
307,3,0,3,0.3003768914760875,unknown,False,False
308,2,0,2,0.0,unknown,False,False
309,0,0,0,0.0,unknown,False,False
310,2,0,2,0.0,unknown,False,False
311,1,0,1,0.0,unknown,False,False
312,1,0,1,0.0,unknown,False,False
313,1,0,1,0.0,unknown,False,False
314,0,0,0,0.0,unknown,False,False
315,2,0,2,0.0,unknown,False,False
316,2,0,2,0.0,unknown,False,False
317,1,0,1,0.0,unknown,False,False
318,4,0,4,0.45530470072262563,red,False,False
319,3,0,3,0.8661831890168661,red,False,False
320,2,0,2,1.327793869329325,red,False,False
321,0,0,0,1.1565599154401878,unknown,False,False
322,0,0,0,0.9070438527011763,unknown,False,False
323,0,0,0,0.8187570206694874,unknown,False,False
324,0,0,0,0.7134057152479162,unknown,False,False
325,0,0,0,0.0,unknown,False,False
326,0,0,0,0.06699410863747068,unknown,False,False
327,0,0,0,0.27187054063976535,unknown,False,False
328,0,0,0,0.05390366747119961,unknown,False,False
329,0,0,0,0.0,unknown,False,False
330,0,0,0,0.0,unknown,False,False
331,2,0,2,0.0,unknown,False,False
332,2,0,2,0.0,unknown,False,False
333,1,0,1,0.21889301701073105,unknown,False,False
334,1,0,1,0.17511441360858482,red,False,False
335,0,0,0,0.0,red,False,False
336,0,0,0,0.0,unknown,False,False
337,0,0,0,0.0,unknown,False,False
338,0,0,0,0.0,unknown,False,False
339,0,0,0,0.0,unknown,False,False
340,0,0,0,0.0,unknown,False,False
341,0,0,0,0.0,unknown,False,False
342,0,0,0,0.24983007692745846,unknown,False,False
343,0,0,0,0.42318046127568776,unknown,False,False
344,0,0,0,0.6526375998274144,unknown,False,False
345,0,0,0,1.2891535757358918,red,False,False
346,0,0,0,1.2635448214241203,unknown,False,False
347,0,0,0,1.2367375547160426,unknown,False,False
348,0,0,0,1.2604527043767755,unknown,False,False
349,0,0,0,1.0028128672574919,unknown,False,False
350,0,0,0,0.7554005677779013,unknown,False,False
351,1,0,1,0.5164575899160744,red,False,False
352,1,0,1,0.515600873566653,unknown,False,False
353,1,0,1,0.8295365389552578,red,False,False
354,1,0,1,0.456420493457254,red,False,False
355,1,0,1,0.8090064332881572,red,False,False
356,1,0,1,1.5632110165700772,red,False,False
357,1,0,1,0.8749921976083896,red,False,False
358,1,0,1,0.6404352596489655,red,False,False
359,1,0,1,0.5712298040523398,unknown,False,False
360,1,0,1,0.8398930593954721,unknown,False,False
361,0,0,0,0.9880034403479723,unknown,False,False
362,1,0,1,1.1000233542289706,unknown,False,False
363,0,1,1,1.0995053690621355,unknown,False,False
364,0,0,0,1.062241520355678,unknown,False,False
365,0,0,0,1.0749872346040914,unknown,False,False
366,0,0,0,0.902498657739702,unknown,False,False
367,0,0,0,0.9582468302018194,unknown,False,False
368,0,0,0,0.950452464040689,unknown,False,False
369,0,0,0,1.0172584295585152,unknown,False,False
370,0,0,0,1.1503334662909264,unknown,False,False
371,0,0,0,1.504590302938695,unknown,False,False
372,0,0,0,0.9291472540377672,unknown,False,False
373,0,0,0,0.6021566595205899,red,False,False
374,0,0,0,0.775944960205034,red,False,False
375,0,0,0,0.5697516889163193,red,False,True
376,0,0,0,1.1080953225134913,unknown,False,False
377,0,0,0,0.8799991663527741,unknown,False,False
378,0,0,0,1.1570678461631625,unknown,False,False
379,0,0,0,1.0686519454417758,unknown,False,False
