second,idle_count,walking_count,total_count
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,4,0,4
9,4,0,4
10,4,0,4
11,4,0,4
12,5,0,5
13,5,0,5
14,5,0,5
15,5,0,5
16,6,0,6
17,6,0,6
18,6,0,6
19,6,0,6
20,6,0,6
21,6,0,6
22,6,0,6
23,6,0,6
24,6,0,6
25,6,0,6
26,6,0,6
27,6,0,6
28,6,0,6
29,6,0,6
30,6,0,6
31,6,0,6
32,6,0,6
33,6,0,6
34,6,0,6
35,6,0,6
36,6,0,6
37,6,0,6
38,6,0,6
39,6,0,6
40,6,0,6
41,6,0,6
42,7,0,7
43,7,0,7
44,7,0,7
45,7,0,7
46,7,0,7
47,7,0,7
48,7,0,7
49,8,0,8
50,8,0,8
51,8,0,8
52,8,0,8
53,8,0,8
54,8,0,8
55,8,0,8
56,8,0,8
57,8,0,8
58,8,0,8
59,8,0,8
60,8,0,8
61,8,0,8
62,8,0,8
63,8,0,8
64,8,0,8
65,8,0,8
66,8,0,8
67,8,0,8
68,8,0,8
69,7,0,7
70,7,0,7
71,7,0,7
72,7,0,7
73,7,0,7
74,7,0,7
75,7,0,7
76,7,0,7
77,7,0,7
78,7,0,7
79,7,0,7
80,7,0,7
81,7,0,7
82,7,0,7
83,7,0,7
84,7,0,7
85,7,0,7
86,8,0,8
87,8,0,8
88,7,0,7
89,7,0,7
90,7,0,7
91,7,0,7
92,7,0,7
93,7,0,7
94,6,0,6
95,6,0,6
96,6,0,6
97,6,0,6
98,6,0,6
99,6,0,6
100,6,0,6
101,6,0,6
102,6,0,6
103,6,0,6
104,6,0,6
105,6,0,6
106,6,0,6
107,6,0,6
108,6,0,6
109,5,0,5
110,4,0,4
111,4,0,4
112,4,0,4
113,4,0,4
114,4,0,4
115,4,0,4
116,4,0,4
117,4,0,4
118,4,0,4
119,2,0,2
120,2,0,2
121,3,0,3
122,3,0,3
123,3,0,3
124,3,0,3
125,3,0,3
126,3,0,3
127,3,0,3
128,3,0,3
129,3,0,3
130,3,0,3
131,4,0,4
132,4,0,4
133,4,0,4
134,4,0,4
135,4,0,4
136,3,0,3
137,3,0,3
138,3,0,3
139,3,0,3
140,3,0,3
141,3,0,3
142,4,0,4
143,4,0,4
144,4,0,4
145,5,0,5
146,5,0,5
147,5,0,5
148,6,0,6
149,6,0,6
150,6,0,6
151,6,0,6
152,6,0,6
153,6,0,6
154,6,0,6
155,6,0,6
156,6,0,6
157,6,0,6
158,6,0,6
159,6,0,6
160,6,0,6
161,6,0,6
162,6,0,6
163,6,0,6
164,6,0,6
165,6,0,6
166,6,0,6
167,6,0,6
168,6,0,6
169,6,0,6
170,6,0,6
171,6,0,6
172,7,0,7
173,7,0,7
174,7,0,7
175,7,0,7
176,7,0,7
177,7,0,7
178,7,0,7
179,7,0,7
180,7,0,7
181,7,0,7
182,7,0,7
183,7,0,7
184,7,0,7
185,7,0,7
186,7,0,7
187,7,0,7
188,7,0,7
189,7,0,7
190,7,0,7
191,7,0,7
192,6,0,6
193,6,0,6
194,6,0,6
195,6,0,6
196,7,0,7
197,7,0,7
198,7,0,7
199,7,0,7
200,7,0,7
201,7,0,7
202,7,0,7
203,7,0,7
204,7,0,7
205,6,0,6
206,6,0,6
207,6,0,6
208,6,0,6
209,6,0,6
210,6,0,6
211,6,0,6
212,6,0,6
213,5,0,5
214,5,0,5
215,5,0,5
216,5,0,5
217,5,0,5
218,5,0,5
219,5,0,5
220,6,0,6
221,5,0,5
222,5,0,5
223,5,0,5
224,5,0,5
225,5,0,5
226,5,0,5
227,5,0,5
228,5,0,5
229,5,0,5
230,5,0,5
231,5,0,5
232,5,0,5
