second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting
0,0,0,0,0.18383322397640847,unknown,False,False
1,0,0,0,0.2627431913471256,unknown,False,False
2,0,0,0,0.2395656497950672,unknown,False,False
3,0,0,0,0.20708159505026263,unknown,False,False
4,0,0,0,0.079928463227077,unknown,False,False
5,0,0,0,0.15045114880583174,unknown,False,False
6,0,0,0,0.29142202565424596,unknown,False,False
7,0,0,0,0.6156715445249739,unknown,False,False
8,0,0,0,0.8469635812841643,unknown,False,False
9,0,0,0,0.41684710152849225,unknown,False,False
10,0,0,0,0.6981074866626323,unknown,False,False
11,0,0,0,0.6420067938175608,unknown,False,False
12,0,0,0,1.093516073472294,unknown,False,False
13,0,0,0,0.7304388969403542,unknown,False,False
14,0,0,0,0.7564346784886964,unknown,False,False
15,0,0,0,1.3990749409540777,unknown,False,False
16,0,0,0,1.0595305916897144,unknown,False,False
17,0,0,0,0.9771394172809397,unknown,False,False
18,0,0,0,1.0417715635582023,unknown,False,False
19,0,0,0,0.951073267582132,unknown,False,False
20,0,0,0,0.7162666509655381,unknown,False,False
21,0,0,0,0.6185903372474417,unknown,False,False
22,0,0,0,0.735345580485641,unknown,False,False
23,0,0,0,0.7940009121699577,unknown,False,False
24,0,0,0,0.3242286094843157,unknown,False,False
25,0,0,0,0.43392245708677746,unknown,False,False
26,0,0,0,0.5128985256570628,unknown,False,False
27,0,0,0,0.616151444849215,unknown,False,False
28,0,0,0,0.4778230033449129,unknown,False,False
29,0,0,0,0.5604729326497587,unknown,False,False
30,1,0,1,0.6776107516253186,unknown,False,False
31,1,1,2,0.7548251977338596,unknown,False,False
32,2,0,2,0.7677502501858122,unknown,False,False
33,2,2,4,1.1861682878929098,unknown,False,False
34,2,0,2,1.0875057775229662,unknown,False,False
35,2,0,2,0.9649902054618952,unknown,False,False
36,0,0,0,1.0259961572727951,unknown,False,False
37,0,0,0,1.1594108976052675,unknown,False,False
38,0,0,0,1.4636929743367135,unknown,False,False
39,0,0,0,1.37600965601742,unknown,False,False
40,0,0,0,0.7668286838289036,unknown,False,False
41,0,0,0,0.4524673353537497,unknown,False,False
42,0,0,0,0.5176320071644726,unknown,False,False
43,0,0,0,0.5617342613365714,unknown,False,False
44,0,0,0,0.3955671336142756,unknown,False,False
45,0,0,0,0.5448531023572935,unknown,False,False
46,0,0,0,0.9563402039882097,unknown,False,False
47,0,0,0,1.314273595678122,unknown,False,False
48,0,0,0,1.4831785145313825,unknown,False,False
49,0,0,0,1.203160255797491,unknown,False,False
50,0,0,0,1.0423663263925966,unknown,False,False
51,0,0,0,1.1839774863156156,unknown,False,False
52,1,0,1,1.221353227826642,unknown,False,False
53,1,0,1,0.9617396011329051,unknown,False,False
54,0,0,0,1.1992153013695952,unknown,False,False
55,0,0,0,1.2581570123274686,unknown,False,False
56,0,0,0,1.1292909965559437,unknown,False,False
57,0,0,0,1.1868681698436847,unknown,False,False
58,0,0,0,0.9840483427007783,unknown,False,False
59,0,0,0,0.6166064747180258,unknown,False,False
60,0,0,0,0.32250655553347163,unknown,False,False
61,0,0,0,0.23504688101288446,unknown,False,False
62,0,0,0,0.30409392433506394,unknown,False,False
63,0,0,0,0.4766353539723731,unknown,False,False
64,0,0,0,0.45065194563088395,unknown,False,False
65,0,0,0,0.3469678180411969,unknown,False,False
66,0,0,0,0.653449380521763,unknown,False,False
67,0,0,0,0.5729770698584211,unknown,False,False
68,0,0,0,0.4635145538694972,unknown,False,False
69,0,0,0,0.591125037672879,unknown,False,False
70,0,0,0,0.4945948841324883,unknown,False,False
71,0,0,0,0.3148689357520231,unknown,False,False
72,0,0,0,0.23577638202563117,unknown,False,False
73,0,0,0,0.20626891606858117,unknown,False,False
74,0,0,0,0.48674737428081505,unknown,False,False
75,0,0,0,0.5717095361342415,unknown,False,False
76,0,0,0,0.8028886161317809,unknown,False,False
77,0,0,0,0.6260739446765032,unknown,False,False
78,0,0,0,0.7344190487136124,red,False,False
79,0,0,0,0.6986126823800342,red,False,False
80,0,0,0,1.0549769544685434,red,False,False
81,0,0,0,0.6179055283220005,red,False,False
82,1,0,1,0.6088801165517544,unknown,False,False
83,0,1,1,1.0716781405747489,unknown,False,False
84,1,0,1,1.553702765120648,unknown,False,False
85,1,0,1,1.2931255344039676,unknown,False,False
86,0,0,0,1.2150578424413034,unknown,False,False
87,0,0,0,1.227225065326554,unknown,False,False
88,0,0,0,0.9353495754240256,unknown,False,False
89,0,0,0,0.9191630842225753,unknown,False,False
90,0,0,0,1.4419947150354864,unknown,False,False
91,0,0,0,1.3270372640432229,unknown,False,False
92,0,0,0,0.8043213417211798,unknown,False,False
93,0,0,0,0.501206167199724,unknown,False,False
94,0,0,0,0.59127866337091,red,False,False
95,0,0,0,1.1276660941611387,red,False,False
96,0,0,0,1.2232670003046193,red,False,False
97,0,0,0,1.0335118901848486,unknown,False,False
98,0,0,0,1.0126208600963738,unknown,False,False
99,0,0,0,1.1319614041642183,unknown,False,False
100,0,0,0,0.9119308118952553,unknown,False,False
101,0,0,0,0.6760577793674416,unknown,False,False
102,0,0,0,1.1189773478051124,unknown,False,False
103,0,0,0,1.7061313095537347,unknown,False,False
104,0,0,0,1.0626844292709838,unknown,False,False
105,0,0,0,0.24757192042455947,unknown,False,False
106,0,0,0,0.18081867334654483,unknown,False,False
107,0,0,0,0.259342936952266,unknown,False,False
108,0,0,0,0.13692907940864849,unknown,False,False
109,1,0,1,0.0,unknown,False,False
110,1,0,1,0.0,unknown,False,False
111,0,1,1,0.0,unknown,False,False
112,1,0,1,0.0,unknown,False,False
113,1,0,1,0.0,red,False,False
114,1,0,1,0.775887088972599,unknown,False,False
115,1,0,1,0.5284248407611789,red,False,False
116,0,0,0,0.4901251496393783,unknown,False,False
117,2,0,2,0.0,unknown,False,False
118,2,0,2,0.0,unknown,False,False
119,3,0,3,0.0,unknown,False,False
120,3,0,3,0.39271703281991377,unknown,False,False
121,3,0,3,0.45764609940557577,unknown,False,False
122,2,0,2,0.0,unknown,False,False
123,3,0,3,0.0,unknown,False,False
124,3,0,3,0.0,unknown,False,False
125,3,0,3,0.0,unknown,False,False
126,4,0,4,0.0,unknown,False,False
127,3,0,3,0.0,yellow,False,False
128,2,0,2,0.0,unknown,False,False
129,2,0,2,0.0,red,False,False
130,2,0,2,0.0,unknown,False,False
131,2,0,2,0.0,red,False,False
132,2,0,2,0.7145211341610787,red,False,False
133,2,0,2,2.083208713619431,red,False,False
134,2,0,2,3.9939037975363054,red,False,False
135,2,0,2,0.28478775614485985,red,False,False
136,2,0,2,0.09237271414857201,red,False,False
137,2,0,2,0.0,red,False,False
138,3,0,3,0.0,red,False,False
139,2,0,2,0.0,unknown,False,False
140,2,0,2,0.0,unknown,False,False
141,2,0,2,0.0,unknown,False,False
142,2,0,2,0.0,unknown,False,False
143,3,0,3,0.0,unknown,False,False
144,3,0,3,0.0,unknown,False,False
145,4,0,4,0.0,unknown,False,False
146,3,0,3,0.0,unknown,False,False
147,2,0,2,0.0,unknown,False,False
148,1,0,1,0.0,unknown,False,False
149,1,0,1,0.0,unknown,False,False
150,1,0,1,0.5086314966934944,unknown,False,False
151,1,0,1,0.8519703322027645,red,False,True
152,2,0,2,0.8213432245212478,red,False,True
153,2,0,2,0.8766600478950505,red,False,True
154,2,0,2,0.9439135247971356,unknown,False,True
155,2,0,2,0.8016428394886469,unknown,False,True
156,1,0,1,0.68181468197851,unknown,False,False
157,0,0,0,0.5608590085652657,unknown,False,False
158,0,0,0,0.0,unknown,False,False
159,0,0,0,0.0,unknown,False,False
160,0,0,0,0.0,unknown,False,False
161,0,0,0,0.0,unknown,False,False
162,2,0,2,0.0,unknown,False,False
163,3,0,3,0.4185770873547626,unknown,False,False
164,4,0,4,0.0,unknown,False,False
165,2,0,2,0.9775771874007252,red,False,True
166,3,0,3,0.8300983415972278,red,False,True
167,3,1,4,1.0182938848120193,unknown,False,True
168,2,2,4,1.052989555096518,yellow,False,True
169,4,0,4,1.4085370324665552,unknown,False,True
170,1,0,1,0.4108669268619576,unknown,False,False
171,0,0,0,0.3469874316534057,unknown,False,False
172,0,0,0,0.09650864679183828,unknown,False,False
173,0,0,0,0.3813154840650187,unknown,False,False
