second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,1,0,1,0.14657283950153574,unknown,False,False,0,0,11,0
1,1,0,1,0.2364331446471408,unknown,False,False,0,0,14,0
2,0,0,0,0.26867286584117955,unknown,False,False,0,0,16,0
3,0,0,0,0.13636797766119474,unknown,False,False,0,0,12,0
4,0,0,0,0.2604094262274518,unknown,False,False,0,0,13,0
5,0,0,0,0.10657621874227342,unknown,False,False,0,0,15,0
6,0,0,0,0.16401963851022375,unknown,False,False,0,0,13,0
7,0,0,0,0.2098052042018173,unknown,False,False,0,0,11,0
8,0,0,0,0.3711170404225267,unknown,False,False,0,0,11,0
9,0,0,0,0.396628092599226,unknown,False,False,0,0,7,0
10,0,0,0,0.4711199668006861,unknown,False,False,0,0,12,0
11,0,0,0,0.5200835746057195,unknown,False,False,1,0,10,0
12,0,0,0,0.6191930693419018,unknown,False,False,0,0,12,0
13,0,0,0,0.7498951303938497,unknown,False,False,0,0,10,0
14,0,0,0,1.058851160477248,unknown,False,False,1,0,10,0
15,1,0,1,1.05025591950756,unknown,False,False,2,0,14,0
16,1,0,1,1.0352393830449451,unknown,False,False,1,0,10,0
17,1,0,1,0.8501461437423296,unknown,False,False,0,0,13,0
18,0,0,0,0.4954129465467659,unknown,False,False,0,0,14,0
19,0,0,0,0.41211878127540874,unknown,False,False,1,0,17,0
20,0,0,0,0.38065968292059044,unknown,False,False,0,0,17,0
21,0,0,0,0.3119894471133755,unknown,False,False,0,0,14,0
22,0,0,0,0.37481897680825116,unknown,False,False,0,0,18,0
23,0,0,0,0.4868078023105593,unknown,False,False,0,0,17,0
24,0,0,0,0.5876180430330594,unknown,False,False,0,0,16,0
25,0,0,0,0.8809879086459635,unknown,False,False,0,0,19,0
26,0,0,0,1.2766371627890196,unknown,False,False,0,0,19,0
27,0,0,0,1.1664180021774422,unknown,False,False,0,0,20,0
28,0,0,0,1.0370444743328429,unknown,False,False,0,0,18,0
29,0,0,0,1.1433859045828814,unknown,False,False,0,0,14,0
30,0,0,0,0.9754746658660592,unknown,False,False,0,0,16,0
31,0,0,0,0.9523641680859344,unknown,False,False,0,0,21,0
32,0,0,0,1.2089047705370874,unknown,False,False,0,0,16,0
33,0,0,0,1.2886827119481765,unknown,False,False,0,0,15,0
34,0,0,0,1.2052478225219931,unknown,False,False,0,0,16,0
35,0,0,0,1.3992414821999863,unknown,False,False,0,0,15,0
36,0,0,0,1.146385378877301,unknown,False,False,0,0,18,0
37,0,0,0,0.8905452139588833,unknown,False,False,0,0,15,0
38,0,0,0,0.6839775601260154,unknown,False,False,0,0,13,0
39,0,0,0,0.3995836654867682,unknown,False,False,0,0,17,0
40,0,0,0,0.45319728392010583,unknown,False,False,0,0,15,0
41,0,0,0,0.4479320375731457,unknown,False,False,0,0,14,0
42,0,0,0,0.4879771933940987,unknown,False,False,0,0,18,0
43,0,0,0,0.6790907444438808,unknown,False,False,0,0,21,0
44,0,0,0,1.0122932082976674,unknown,False,False,0,0,14,0
45,0,0,0,1.366353007206633,unknown,False,False,0,0,12,0
46,0,0,0,1.4366773872625784,unknown,False,False,0,0,16,0
47,0,0,0,1.3225142129818876,unknown,False,False,0,0,18,0
48,0,0,0,1.3434724095331079,unknown,False,False,0,0,16,0
49,0,0,0,1.077070334374021,unknown,False,False,0,0,17,0
50,0,0,0,1.218265175079652,unknown,False,False,0,0,15,0
51,0,0,0,1.4301473471600774,unknown,False,False,0,0,17,0
52,0,0,0,1.5883500547367715,unknown,False,False,0,0,14,0
53,0,0,0,1.4909316598977083,unknown,False,False,0,0,13,0
54,0,0,0,1.3750843848317031,unknown,False,False,0,0,12,0
55,0,0,0,1.0527260649855117,unknown,False,False,0,0,16,0
56,0,0,0,0.7098114716760997,unknown,False,False,0,0,10,0
57,0,0,0,0.45505996941272636,unknown,False,False,0,0,7,0
58,0,0,0,0.559095991585492,unknown,False,False,0,0,6,0
59,0,0,0,0.8688794950459252,unknown,False,False,0,0,7,0
60,0,0,0,1.3358107161998822,unknown,False,False,0,0,6,0
61,0,0,0,1.1649590883960508,yellow,False,False,0,0,6,0
62,0,0,0,1.1875194584744022,unknown,False,False,0,0,7,0
63,0,0,0,1.0060305073938107,unknown,False,False,0,0,8,0
64,0,0,0,0.5980248754844352,unknown,False,False,0,0,9,0
65,0,0,0,0.8102815228319785,unknown,False,False,0,0,10,0
66,0,0,0,0.8133317058620285,unknown,False,False,0,0,7,0
67,0,0,0,0.8323351703015529,unknown,False,False,0,0,8,0
68,0,0,0,1.5745146396655183,unknown,False,False,0,0,5,0
69,0,0,0,1.385557419422273,unknown,False,False,0,0,6,0
70,0,0,0,0.5777922056765916,red,False,False,0,0,4,0
71,0,0,0,0.33009559200732524,unknown,False,False,0,0,1,0
72,0,0,0,0.19918369962647908,unknown,False,False,0,0,2,0
73,0,0,0,0.2106138176346326,yellow,False,False,0,0,4,0
74,0,0,0,0.2519950837129936,red,False,True,0,0,5,0
75,0,0,0,0.16363017214723286,yellow,False,False,0,0,2,0
76,0,0,0,0.1997388443212555,red,False,False,0,0,8,0
77,0,0,0,0.1870607343078215,red,False,False,0,0,7,0
78,0,0,0,0.2457789708428125,red,False,False,0,0,7,0
79,0,0,0,0.25391162509822185,red,False,False,0,0,7,0
80,0,0,0,0.22701802975097637,red,False,False,0,0,8,0
81,0,0,0,0.38610308957455935,red,False,True,0,1,8,0
82,0,0,0,0.40223062715182295,red,False,True,0,1,10,0
83,0,0,0,0.7721839958358163,unknown,False,True,0,0,9,0
84,0,0,0,1.0482486994937372,red,False,False,0,0,9,0
85,0,0,0,0.998809234761962,unknown,False,True,0,1,9,0
86,0,0,0,0.8385423977823573,unknown,False,False,0,0,15,0
87,0,0,0,0.8583133080039859,unknown,False,False,0,0,16,0
88,0,0,0,0.9280548647207737,unknown,False,False,0,0,14,0
89,0,0,0,0.9530949424329431,unknown,False,False,0,0,16,0
90,0,0,0,0.9106754789891477,unknown,False,False,0,0,17,0
91,0,0,0,0.8097766756673134,unknown,False,False,0,0,15,0
92,0,0,0,1.0258383955068215,unknown,False,False,0,0,11,0
93,0,0,0,0.7904846759567896,unknown,False,False,0,0,11,1
94,0,0,0,0.5327880545046345,unknown,False,False,0,1,9,0
95,0,0,0,0.5875606306770078,red,False,False,0,0,6,0
96,0,0,0,0.45854759841010156,red,False,True,0,1,7,0
97,0,0,0,0.3737580512602113,red,False,True,0,1,5,0
98,0,0,0,0.34681191203337797,red,False,True,0,0,5,0
99,0,0,0,0.2998923960237126,red,False,True,0,0,5,0
100,0,0,0,0.3132697187650037,red,False,True,1,0,6,0
101,0,0,0,0.33075272093494634,green,False,True,0,0,7,0
102,0,0,0,0.44196950434118437,red,False,False,0,0,7,0
103,0,0,0,0.6509447957188088,unknown,False,False,0,0,4,0
104,0,0,0,0.7548641782085109,unknown,False,False,0,0,7,0
105,0,0,0,1.232157931905168,unknown,False,False,0,0,6,0
106,0,0,0,1.4712218359794353,unknown,False,False,0,0,7,0
107,0,0,0,1.1148274149912223,unknown,False,False,0,0,5,0
108,0,0,0,1.645035213107125,unknown,False,False,1,0,3,0
109,0,0,0,1.4324064959031697,unknown,False,False,0,0,3,0
110,0,0,0,0.606288895466849,unknown,False,False,0,0,1,0
111,0,0,0,0.4406075552080142,unknown,False,False,0,0,1,0
112,0,0,0,0.37811683999677886,unknown,False,False,0,0,0,0
113,0,0,0,0.4291260064058707,unknown,False,False,0,0,1,0
114,0,0,0,0.7196451271899452,unknown,False,False,0,0,2,0
115,0,0,0,0.6498188116804435,unknown,False,False,0,0,2,0
