second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting
0,0,0,0,1.4673607123841854,unknown,False,False
1,0,0,0,1.6325786279518206,unknown,False,False
2,0,0,0,1.2486856396138806,unknown,False,False
3,0,0,0,0.8632146043513302,unknown,False,False
4,0,0,0,0.8818004135869284,unknown,False,False
5,0,0,0,0.6358959309016404,unknown,False,False
6,0,0,0,0.5237707599237654,unknown,False,False
7,0,0,0,0.3823913212884792,unknown,False,False
8,0,0,0,0.357832887194988,unknown,False,False
9,0,0,0,0.39730288692815724,unknown,False,False
10,0,0,0,0.48775864339021374,unknown,False,False
11,0,0,0,0.9748398951925654,unknown,False,False
12,0,0,0,1.0200388539458456,unknown,False,False
13,0,0,0,0.6359617434570827,unknown,False,False
14,0,0,0,0.47023715946759226,unknown,False,False
15,0,0,0,0.8393263894263099,unknown,False,False
16,0,0,0,0.9791057294508724,unknown,False,False
17,0,1,1,1.269167634954393,unknown,False,False
18,1,0,1,1.6678321252800523,unknown,False,False
19,1,0,1,1.4071208996091058,unknown,False,False
20,0,0,0,1.150175232950694,unknown,False,False
21,0,0,0,1.065727225323664,unknown,False,False
22,0,0,0,0.6918762709340734,unknown,False,False
23,0,0,0,0.7287259479043244,unknown,False,False
24,0,0,0,0.5480849105741991,unknown,False,False
25,0,0,0,1.036567095430966,red,False,False
26,0,0,0,1.221775295944147,unknown,False,True
27,0,0,0,0.9719510821536307,unknown,False,False
28,0,0,0,0.6536214662303625,unknown,False,False
29,0,0,0,0.6541411985695056,unknown,False,False
30,0,0,0,0.6456757899628714,unknown,False,False
31,1,0,1,0.901397662214253,unknown,False,False
32,1,0,1,0.9804609207706806,unknown,False,False
33,1,0,1,0.9043976918414905,unknown,False,False
34,1,0,1,0.8079864231640462,unknown,False,False
35,1,0,1,0.49628645414591616,unknown,False,False
36,0,0,0,0.33641423549962873,unknown,False,False
37,0,0,0,0.791572124851792,unknown,False,False
38,0,0,0,1.4678639775972084,unknown,False,False
39,0,0,0,1.1463856317599985,unknown,False,False
40,0,0,0,0.8119332146570027,yellow,False,False
41,0,0,0,0.7593090592015013,unknown,False,False
42,0,0,0,0.7064292423164831,yellow,False,False
43,0,0,0,0.3915440672709426,red,False,False
44,0,0,0,0.5485760552774883,red,False,False
45,0,0,0,0.3751522611992282,unknown,False,False
46,0,0,0,0.5920066944453295,red,False,False
47,0,0,0,0.8082813635187416,red,False,False
48,1,0,1,0.5597146565141851,unknown,False,False
49,1,0,1,0.7532360177893044,unknown,False,False
50,0,0,0,1.0429290002802514,unknown,False,False
51,0,0,0,0.9716024937256481,unknown,False,False
52,0,0,0,0.8140972859872218,unknown,False,False
53,0,0,0,0.5645279568980097,unknown,False,False
54,0,0,0,0.536535451387314,unknown,False,True
55,0,0,0,0.5536665192099528,unknown,False,False
56,0,0,0,0.28233023171155774,unknown,False,False
57,0,0,0,0.479797604990331,unknown,False,False
58,0,0,0,0.5959627147328839,unknown,False,False
59,0,0,0,1.0833385216290383,unknown,False,False
60,0,0,0,1.4827376987080576,unknown,False,False
61,0,0,0,1.9783688488373876,unknown,False,False
62,0,0,0,1.5919649493255952,unknown,False,False
63,0,0,0,1.1542277321082501,unknown,False,False
64,0,0,0,0.7786259731952286,red,False,False
65,0,0,0,1.2547994058523835,red,False,False
66,0,0,0,0.6688335335657891,green,False,True
67,0,0,0,0.579718006216135,unknown,False,True
68,0,0,0,0.453384971127209,unknown,False,False
69,0,0,0,0.7177832412905842,unknown,False,False
70,0,0,0,0.5707084036940261,unknown,False,False
71,0,0,0,0.0,unknown,False,False
72,0,0,0,0.0,unknown,False,False
73,0,0,0,0.0,unknown,False,False
74,0,0,0,0.0,unknown,False,False
75,0,0,0,0.0,unknown,False,False
76,0,0,0,0.0,unknown,False,False
77,0,0,0,0.0,unknown,False,False
78,0,0,0,0.9542628642386111,red,False,False
79,1,0,1,1.0913378798646451,yellow,False,False
80,1,1,2,1.1739679190415415,red,False,False
81,2,0,2,1.0778958273177226,unknown,False,False
82,2,0,2,0.7629323132831162,unknown,False,False
83,1,0,1,0.38223416163529556,unknown,False,False
84,0,0,0,0.0,unknown,False,False
85,0,0,0,0.0,unknown,False,False
86,0,0,0,0.0,unknown,False,False
87,0,0,0,0.0,unknown,False,False
88,0,0,0,0.0,unknown,False,False
89,0,1,1,0.0,unknown,False,False
90,1,1,2,0.731901326803838,red,False,False
91,1,0,1,0.9138111512359762,yellow,False,False
92,0,0,0,0.9750324281887752,red,False,False
93,0,0,0,0.9732729861822138,unknown,False,False
94,1,0,1,0.913871254103841,unknown,False,False
95,1,0,1,0.6894064600409244,unknown,False,False
96,0,0,0,0.0,unknown,False,False
97,0,0,0,0.0,unknown,False,False
98,0,0,0,0.0,unknown,False,False
99,0,0,0,0.0,unknown,False,False
100,0,0,0,0.39332231965299624,unknown,False,False
101,0,0,0,0.4660353679938551,unknown,False,False
102,0,0,0,0.0,unknown,False,False
103,2,0,2,0.559996570374857,unknown,False,False
104,2,0,2,0.30069710534369865,unknown,False,False
105,3,0,3,0.36481049941503285,red,False,False
106,1,0,1,0.41479134789109684,green,False,False
107,0,0,0,0.6434438142717427,red,False,False
108,1,0,1,0.2914817913302516,green,False,False
109,1,0,1,0.18821706029608376,green,False,False
110,1,0,1,0.2815534407037226,red,False,False
111,0,0,0,0.594603777147042,unknown,False,False
112,0,0,0,0.83123818674818,red,False,False
113,0,0,0,0.712697340710033,red,False,False
114,1,0,1,0.5364752554068983,red,False,False
115,2,0,2,1.032114570810317,red,False,False
116,2,0,2,0.8522885301180727,red,False,False
117,2,0,2,0.5697550180228862,red,False,True
118,2,0,2,0.5008452078010022,yellow,False,True
119,2,0,2,0.5194846167200666,red,False,True
120,3,0,3,0.5363063595456038,unknown,False,True
121,1,0,1,0.8713875317829217,unknown,False,True
122,0,0,0,1.46321540166006,unknown,False,False
