second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,0.0,unknown,False,False,1,0,0,0
1,1,0,1,0.0,unknown,False,False,0,0,0,0
2,0,0,0,0.0,unknown,False,False,0,0,0,0
3,0,0,0,0.0,unknown,False,False,0,0,0,0
4,0,0,0,0.0,unknown,False,False,0,0,0,0
5,0,0,0,0.0,unknown,False,False,0,0,0,0
6,0,0,0,0.0,unknown,False,False,0,0,0,0
7,0,0,0,0.0,unknown,False,False,0,0,0,0
8,0,0,0,0.0,unknown,False,False,0,0,0,0
9,0,0,0,0.0,unknown,False,False,0,0,0,0
10,0,0,0,0.0,unknown,False,False,0,0,0,0
11,0,0,0,0.0,unknown,False,False,0,0,0,0
12,0,0,0,0.0,unknown,False,False,0,0,0,0
13,0,0,0,0.0,unknown,False,False,0,0,0,0
14,0,0,0,0.0,unknown,False,False,0,0,0,0
15,0,0,0,0.0,unknown,False,False,0,0,0,0
16,0,0,0,0.0,unknown,False,False,0,0,0,0
17,0,0,0,0.0,unknown,False,False,0,0,0,0
18,0,0,0,0.0,unknown,False,False,0,0,0,0
19,0,0,0,0.0,unknown,False,False,0,0,0,0
20,0,0,0,0.0,unknown,False,False,0,0,0,0
21,0,0,0,0.0,unknown,False,False,0,0,0,0
22,0,0,0,0.0,unknown,False,False,0,0,0,0
23,0,0,0,0.0,unknown,False,False,0,0,0,1
24,0,0,0,0.0,unknown,False,False,0,0,0,1
25,0,0,0,0.0,unknown,False,False,0,0,0,0
26,0,0,0,0.0,unknown,False,False,0,0,0,1
27,0,0,0,0.0,unknown,False,False,0,0,0,0
28,0,0,0,0.0,unknown,False,False,0,0,0,0
29,0,0,0,0.0,unknown,False,False,0,0,0,0
30,0,0,0,0.0,unknown,False,False,0,0,0,0
31,0,0,0,0.0,unknown,False,False,0,0,0,0
32,0,0,0,0.0,unknown,False,False,0,0,0,0
33,0,0,0,0.0,unknown,False,False,0,0,0,0
34,0,0,0,0.0,unknown,False,False,0,0,0,0
35,0,0,0,0.0,unknown,False,False,0,0,0,0
36,0,0,0,0.0,unknown,False,False,0,0,0,0
37,0,0,0,0.0,unknown,False,False,0,0,0,0
38,0,0,0,0.0,unknown,False,False,0,0,0,0
39,0,0,0,0.0,unknown,False,False,0,0,0,0
40,0,0,0,0.0,unknown,False,False,0,0,0,0
41,0,0,0,0.0,unknown,False,False,0,0,0,1
42,0,0,0,0.0,unknown,False,False,0,0,0,1
43,0,0,0,0.0,unknown,False,False,0,0,0,0
44,0,0,0,0.0,unknown,False,False,0,0,0,1
45,0,0,0,0.0,unknown,False,False,0,0,0,0
46,0,0,0,0.0,unknown,False,False,0,0,0,0
47,0,0,0,0.0,unknown,False,False,0,0,0,0
48,0,0,0,0.0,unknown,False,False,0,0,0,0
49,0,0,0,0.0,unknown,False,False,0,0,0,0
50,0,0,0,0.0,unknown,False,False,0,0,0,1
51,0,0,0,0.0,unknown,False,False,0,0,0,0
52,1,0,1,0.0,unknown,False,False,1,0,0,0
53,1,0,1,0.0,unknown,False,False,1,0,0,0
54,1,0,1,0.0,unknown,False,False,0,0,0,0
55,1,0,1,0.0,unknown,False,False,1,0,0,0
56,1,0,1,0.0,unknown,False,False,0,0,0,0
57,1,0,1,0.0,unknown,False,False,1,0,0,0
58,1,0,1,0.0,unknown,False,False,0,0,0,0
59,0,0,0,0.0,unknown,False,False,1,0,0,0
60,0,0,0,0.0,unknown,False,False,1,0,0,0
61,1,0,1,0.0,unknown,False,False,1,0,0,0
62,2,0,2,0.0,unknown,False,False,0,0,0,0
63,0,0,0,0.0,unknown,False,False,0,0,0,0
64,0,0,0,0.0,unknown,False,False,0,0,0,0
65,0,0,0,0.0,unknown,False,False,0,0,0,0
66,0,0,0,0.0,unknown,False,False,0,0,0,0
67,0,0,0,0.0,unknown,False,False,0,0,2,1
68,0,0,0,0.0,unknown,False,False,0,0,4,0
69,0,0,0,0.5690880976049467,unknown,False,False,0,0,3,0
70,0,0,0,0.672682757869326,unknown,False,False,0,0,3,0
71,0,0,0,0.44917802183409283,unknown,False,False,1,0,4,0
72,2,0,2,0.629030342326684,unknown,False,False,1,0,4,0
73,1,0,1,0.6515710624447216,unknown,False,False,1,0,3,0
74,1,0,1,0.15803021637470036,unknown,False,False,1,0,3,0
75,2,0,2,0.3349965030801784,unknown,False,False,1,0,3,0
76,1,0,1,2.1668605069019153,unknown,False,False,0,0,4,0
77,0,0,0,1.7038742382912786,unknown,False,False,2,0,4,0
78,0,0,0,0.7282077458970698,unknown,False,False,1,0,3,0
79,0,0,0,1.9234022109156534,unknown,False,False,1,0,4,0
80,1,0,1,1.9878772029721121,unknown,False,False,1,0,4,0
81,2,0,2,1.2359737947998395,unknown,False,False,1,0,8,0
82,1,0,1,1.0655555760421989,unknown,False,False,1,0,9,0
83,0,0,0,0.6291851079876,unknown,False,False,0,0,11,0
84,0,0,0,1.4981620018051751,unknown,False,False,1,0,6,0
85,0,0,0,2.1422365615779846,unknown,False,False,1,0,7,0
86,0,0,0,2.153913181493994,unknown,False,False,0,0,7,0
87,0,0,0,2.4359651636448647,unknown,False,False,0,0,9,0
88,0,0,0,1.7830714002841683,unknown,False,False,0,0,7,0
89,0,0,0,1.0286483662156942,unknown,False,False,0,0,8,0
90,0,0,0,0.707797720206212,unknown,False,False,0,0,8,0
91,1,0,1,0.3088243839024797,unknown,False,False,1,0,7,0
92,1,0,1,1.400787197711168,unknown,False,False,1,0,7,0
93,2,0,2,1.6654539499900647,unknown,False,False,1,0,8,0
94,1,0,1,0.9279030318998551,unknown,False,False,0,0,10,0
95,1,0,1,0.9336659607449652,unknown,False,False,0,0,6,0
96,1,0,1,1.4330606729481132,unknown,False,False,0,0,9,0
