second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,1.755456895638619,red,False,False,0,0,2,1
1,0,0,0,1.6341229702946303,red,False,False,0,0,2,1
2,0,0,0,1.7152467188243954,red,False,False,0,0,2,0
3,0,0,0,3.25023151777109,red,False,False,0,0,6,1
4,0,0,0,1.7126653650840191,red,False,False,0,0,5,0
5,0,0,0,0.6968097585919429,red,False,False,0,0,3,0
6,0,0,0,0.8864748951002079,red,False,False,0,0,1,0
7,0,0,0,1.3788986599620952,red,False,False,0,0,0,0
8,0,0,0,0.0,red,False,False,0,0,0,0
9,0,0,0,0.0,unknown,False,False,0,0,0,0
10,0,0,0,0.0,unknown,False,False,0,0,0,0
11,0,0,0,0.0,unknown,False,False,0,0,0,0
12,0,0,0,0.0,unknown,False,False,2,0,0,1
13,0,0,0,0.0,unknown,False,False,2,0,0,1
14,0,0,0,0.0,unknown,False,False,0,0,0,0
15,1,0,1,0.20845952980121096,unknown,False,False,1,0,1,0
16,1,0,1,0.22993007042008215,unknown,False,False,0,0,1,0
17,3,1,4,0.43020804864814993,unknown,False,False,8,0,1,0
18,5,3,8,0.4316438148281851,unknown,True,False,2,0,3,0
19,4,2,6,0.550925943870334,unknown,True,False,0,0,2,0
20,1,0,1,0.7528413051321178,unknown,False,False,1,0,1,0
21,3,0,3,0.8980668702439722,unknown,False,False,1,0,4,1
22,2,0,2,0.8522533888324807,red,False,False,0,0,3,0
23,1,0,1,0.8561253011788643,green,False,False,3,0,1,0
24,3,0,3,0.8600806216920098,red,False,True,3,1,0,0
25,3,2,5,0.0,unknown,True,True,2,0,0,0
26,3,0,3,0.0,unknown,False,False,1,0,0,0
27,1,1,2,0.0,unknown,False,False,0,0,0,0
28,0,0,0,0.0,unknown,False,False,0,0,0,0
29,0,0,0,0.0,red,False,False,1,0,0,0
30,0,1,1,0.0,unknown,False,False,2,0,1,0
31,1,1,2,1.061888996943767,unknown,False,False,0,0,1,0
32,1,0,1,0.30286508544123253,unknown,False,False,0,0,2,0
33,2,0,2,0.8058173282025939,unknown,False,False,0,0,2,0
34,1,0,1,1.0270124988037326,unknown,False,False,0,0,0,0
35,0,0,0,0.0,unknown,False,False,0,0,0,0
36,0,0,0,0.0,red,False,False,0,0,1,0
37,0,0,0,0.2383274471279992,red,False,False,0,0,2,0
38,0,0,0,0.4959301707203951,red,False,False,0,0,4,0
39,0,0,0,0.43209870869255224,red,False,False,0,0,4,0
40,0,0,0,1.2523586386746972,red,False,False,0,0,7,0
41,0,0,0,2.1133005127297695,red,False,False,0,0,2,0
42,0,0,0,1.5959036483699574,yellow,False,False,1,0,0,0
43,0,0,0,0.0,unknown,False,False,0,0,0,0
44,0,0,0,0.0,unknown,False,False,0,0,0,0
45,0,0,0,0.0,unknown,False,False,0,0,0,0
46,0,0,0,0.0,unknown,False,False,0,0,1,0
