second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,1,0,1,0.2874671497084593,unknown,False,False,0,0,6,0
1,1,0,1,0.42099524850099024,unknown,False,False,0,0,5,0
2,0,0,0,0.30300959806086036,unknown,False,False,0,1,2,0
3,0,0,0,0.3248061665475901,unknown,False,False,0,1,7,0
4,0,0,0,0.384960557108942,unknown,False,False,1,1,7,0
5,0,0,0,0.4137360579100558,unknown,False,False,0,1,8,0
6,0,0,0,0.3386180916428299,unknown,False,False,0,1,10,0
7,0,0,0,0.3430845000200248,unknown,False,False,0,1,8,0
8,1,0,1,0.3445742287137037,unknown,False,False,1,1,12,0
9,1,0,1,0.4969776797527731,unknown,False,False,1,0,11,0
10,1,0,1,0.539894931749004,unknown,False,False,0,1,12,0
11,0,0,0,0.6624956356850803,unknown,False,False,0,0,11,0
12,0,0,0,0.9204166798203322,unknown,False,False,0,1,10,0
13,0,0,0,0.8189495606740085,unknown,False,False,0,0,10,0
14,0,0,0,1.0254210290809547,unknown,False,False,0,0,13,0
15,0,0,0,0.9379355467671476,unknown,False,False,0,0,15,0
16,0,0,0,1.1301350177746403,unknown,False,False,0,0,12,0
17,0,0,0,1.1309070437840516,unknown,False,False,0,0,12,0
18,0,0,0,1.1251126116755417,unknown,False,False,0,0,11,0
19,0,0,0,1.2377143633903456,unknown,False,False,0,0,11,0
20,0,0,0,1.1319007490058142,unknown,False,False,0,0,12,0
21,0,0,0,1.0448312454874118,unknown,False,False,0,0,10,0
22,0,0,0,0.7918842270702255,unknown,False,False,0,0,14,0
23,0,0,0,0.5245406261159498,unknown,False,False,0,0,11,0
24,0,0,0,0.5720455065233431,unknown,False,False,0,0,16,0
25,0,0,0,0.7811454700969436,unknown,False,False,0,0,16,0
26,0,0,0,1.0027665821532166,unknown,False,False,0,0,15,0
27,0,0,0,1.3059270418426407,unknown,False,False,0,0,12,0
28,0,0,0,1.2583138927270907,unknown,False,False,0,0,15,0
29,0,0,0,1.3448877385685658,unknown,False,False,0,0,13,0
30,0,0,0,1.1743313639205704,unknown,False,False,0,0,14,0
31,0,0,0,1.3098470257393227,unknown,False,False,1,0,17,0
32,0,0,0,1.1838694036064115,unknown,False,False,1,0,15,0
33,0,0,0,1.6106282396226748,unknown,False,False,0,0,13,0
34,0,0,0,1.914267639696545,unknown,False,False,0,0,9,0
35,0,0,0,1.1222123988829327,unknown,False,False,0,0,8,0
36,0,0,0,0.48790799729174594,red,False,False,0,0,6,0
