second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,0.6248350921104961,unknown,False,False,0,0,1,0
1,0,0,0,0.3357528181092821,unknown,False,False,0,0,0,0
2,0,0,0,0.0,unknown,False,False,0,0,0,0
3,0,0,0,0.6084498919489353,unknown,False,False,0,0,1,0
4,0,0,0,2.0096983607907055,unknown,False,False,0,0,2,0
5,0,0,0,1.6452423345025702,unknown,False,False,0,0,2,0
6,0,0,0,0.6300106092301945,unknown,False,False,0,0,0,0
7,0,0,0,0.24608304093703492,unknown,False,False,0,0,0,0
8,0,0,0,0.0,unknown,False,False,0,0,0,0
9,0,0,0,0.0,unknown,False,False,0,0,0,0
10,0,0,0,0.0,unknown,False,False,0,0,0,0
11,0,0,0,0.0,unknown,False,False,0,0,0,0
12,0,0,0,0.0,unknown,False,False,0,0,0,0
13,0,0,0,0.0,unknown,False,False,0,0,0,0
14,0,0,0,0.0,unknown,False,False,0,0,0,0
15,0,0,0,0.0,red,False,False,0,0,0,0
16,0,0,0,0.0,red,False,False,0,0,0,0
17,0,0,0,0.0,red,False,False,0,0,0,0
18,0,0,0,0.0,red,False,False,1,0,0,0
19,1,0,1,0.0,red,False,False,1,0,0,0
20,1,0,1,0.0,unknown,False,False,1,0,0,0
21,2,0,2,0.0,yellow,False,False,1,0,1,0
22,1,0,1,0.0,unknown,False,False,2,0,0,0
23,1,0,1,0.0,unknown,False,False,0,0,0,0
24,1,0,1,0.0,unknown,False,False,0,0,0,0
25,0,0,0,0.0,unknown,False,False,0,0,0,0
26,0,0,0,0.0,unknown,False,False,0,0,0,0
27,0,0,0,0.0,unknown,False,False,0,0,0,0
28,0,0,0,0.0,unknown,False,False,0,0,0,0
29,0,0,0,0.0,unknown,False,False,0,0,1,0
30,0,0,0,0.08304827469674095,unknown,False,False,0,0,1,0
31,0,0,0,0.15258435221473976,unknown,False,False,0,0,2,0
32,0,0,0,0.19098976054321481,unknown,False,False,0,0,2,0
33,0,0,0,0.2505689742125589,unknown,False,False,0,0,2,0
34,0,0,0,0.5262841779303538,unknown,False,False,0,0,4,0
35,0,0,0,1.1927217946960431,unknown,False,False,0,0,4,0
36,0,0,0,0.7747388738205051,red,False,False,0,0,4,0
37,0,0,0,0.4521135997273804,red,False,True,0,0,8,0
38,0,0,0,0.5376250395837027,unknown,False,False,0,0,6,0
39,0,0,0,0.7184689870253284,yellow,False,False,0,0,3,0
40,0,0,0,0.7535566462538723,unknown,False,False,0,0,5,0
41,0,0,0,0.5956882711394842,unknown,False,False,0,0,5,0
42,0,0,0,0.43626644631831746,unknown,False,False,0,0,4,0
43,0,0,0,0.4248533418629366,unknown,False,False,0,0,1,0
44,0,0,0,0.10439462394076042,unknown,False,False,0,0,1,0
45,0,0,0,0.0860827347868097,unknown,False,False,0,0,1,0
46,0,0,0,0.07733334900486956,unknown,False,False,0,0,1,0
47,0,0,0,0.15032180134956902,unknown,False,False,0,0,2,0
48,0,0,0,0.2109366546126389,unknown,False,False,0,0,2,0
49,0,0,0,0.47299849471839683,unknown,False,False,0,0,3,0
50,0,0,0,0.2690816125427743,unknown,False,False,0,1,1,0
51,0,0,0,0.8261594276899715,red,False,True,0,1,3,0
52,0,0,0,0.49854647469912683,yellow,False,True,0,1,3,0
53,0,0,0,0.28153669510276386,yellow,False,True,0,0,3,0
54,0,0,0,0.23601055144614394,yellow,False,False,0,0,3,0
55,0,0,0,0.2869522738118278,unknown,False,False,0,0,2,0
56,0,0,0,0.5158463093845389,unknown,False,False,0,0,3,0
57,0,0,0,0.9148172472913257,unknown,False,False,0,0,4,0
58,0,0,0,1.2459762748938075,unknown,False,False,0,0,4,0
59,0,0,0,1.1156746203931482,unknown,False,False,0,0,4,0
60,0,0,0,0.7913855454500859,unknown,False,False,0,0,5,0
61,0,0,0,0.576397834863822,unknown,False,False,0,0,6,0
62,0,0,0,0.5177848489452466,unknown,False,False,0,0,5,0
63,0,0,0,0.6389492834532468,unknown,False,False,0,1,3,0
64,0,0,0,0.9646731429295093,unknown,False,False,0,1,2,0
65,0,0,0,0.5547052215319613,red,False,False,0,0,4,0
66,0,0,0,0.4764811902318358,red,False,False,0,0,5,0
67,0,0,0,0.3611407403661917,yellow,False,False,0,0,4,0
68,0,0,0,0.4207845689162676,green,False,False,0,0,5,0
69,1,0,1,0.4446741706480582,red,False,False,1,0,5,0
70,1,0,1,0.5418901730447887,yellow,False,False,1,0,4,1
71,0,1,1,0.4511516506401858,unknown,False,False,1,0,4,1
72,1,0,1,0.6164462980821949,yellow,False,False,0,0,5,0
73,1,0,1,0.4529546475435984,unknown,False,False,0,0,2,0
74,0,0,0,0.2655620665680205,unknown,False,False,0,0,4,0
75,0,0,0,0.5972632535931147,unknown,False,False,0,0,6,0
76,0,0,0,1.235815839631595,unknown,False,False,0,0,6,0
77,0,0,0,1.6220946937737417,unknown,False,False,0,0,6,0
78,0,0,0,1.4341003809218098,unknown,False,False,0,0,4,0
79,0,0,0,0.5248846811444388,unknown,False,False,0,0,4,0
80,0,0,0,0.5771316993572968,unknown,False,False,0,0,3,0
81,0,0,0,0.4184414765843682,unknown,False,False,1,0,2,0
82,1,0,1,0.6873357609907613,red,False,True,1,1,3,0
83,2,0,2,0.7477286194841118,yellow,False,True,0,1,3,0
84,1,0,1,0.6061352924277128,green,False,True,0,1,6,0
85,0,0,0,0.7057825415334464,unknown,False,True,0,1,5,0
86,0,0,0,0.7832373465113588,unknown,False,True,0,0,3,0
87,0,0,0,0.8648502321838096,unknown,False,False,0,0,7,0
88,0,0,0,0.6326112993019439,unknown,False,False,0,0,7,0
89,0,0,0,0.4945872470857956,unknown,False,False,0,0,9,0
90,0,0,0,0.6373789088716331,unknown,False,False,0,0,10,0
91,0,0,0,0.7081896696238594,unknown,False,False,0,0,10,0
92,0,0,0,1.027890065852785,unknown,False,False,0,0,12,0
93,0,1,1,0.9661694634160564,unknown,False,False,1,0,10,0
94,1,0,1,1.4920281294987154,unknown,False,False,1,0,10,0
95,1,0,1,1.2385865547399943,unknown,False,False,0,0,10,0
96,0,0,0,1.9971021231561639,unknown,False,False,0,0,11,0
97,0,0,0,1.1142008996301453,red,False,False,1,0,8,0
98,2,0,2,0.3776439962705961,red,False,False,3,0,10,0
99,3,0,3,0.28732816182957255,unknown,False,False,2,0,6,0
100,4,0,4,0.5059976857116159,unknown,False,False,2,0,6,0
101,3,1,4,1.36692174752177,unknown,False,False,0,0,10,1
102,2,1,3,1.6158257811581656,unknown,False,False,0,0,9,0
103,0,0,0,1.6732427258590636,unknown,False,False,0,0,12,0
104,0,0,0,1.2644107914644662,unknown,False,False,0,0,11,0
105,0,0,0,1.0611377138115696,unknown,False,False,0,0,5,0
106,0,0,0,0.6444331342775061,unknown,False,False,0,0,5,0
107,0,0,0,0.829365079740751,unknown,False,False,0,0,8,0
108,0,0,0,0.8500824917942692,unknown,False,False,0,0,9,0
109,0,0,0,0.8311922987096152,unknown,False,False,0,0,8,0
110,0,0,0,0.7097654166983653,yellow,False,False,0,0,8,0
111,0,0,0,0.38906273929427254,red,False,False,0,0,9,0
112,0,0,0,0.3870298538861012,unknown,False,False,0,0,6,0
113,0,0,0,0.26034884233916755,yellow,False,False,0,0,9,0
114,0,0,0,0.15754341635466643,red,False,False,0,0,7,0
115,0,0,0,0.22214104260535794,unknown,False,False,0,0,11,0
116,0,0,0,0.19835233494538584,red,False,False,0,0,13,0
117,0,0,0,0.22740357049903323,unknown,False,False,0,0,13,0
118,0,0,0,0.32951524611422667,red,False,False,0,0,15,0
119,0,0,0,0.37284045938874105,yellow,False,False,0,0,14,0
120,0,0,0,0.35861518367730233,yellow,False,False,0,0,15,0
121,0,0,0,0.6690068240508164,red,False,False,0,0,11,0
122,0,0,0,0.646071696297536,unknown,False,False,0,0,12,0
123,0,0,0,0.6176360236694034,unknown,False,False,0,0,14,0
124,0,0,0,0.6756116729420791,unknown,False,False,0,0,13,0
125,0,0,0,0.6389720551375998,unknown,False,False,0,0,14,0
126,0,0,0,0.8254527402339717,unknown,False,False,0,0,14,0
127,0,0,0,0.858986640695055,unknown,False,False,0,0,12,0
128,0,0,0,1.3322232582262161,unknown,False,False,0,0,14,0
129,0,0,0,1.1848861960658752,unknown,False,False,0,0,15,0
130,0,0,0,0.7115075063561263,unknown,False,False,0,0,13,0
131,0,0,0,0.6450108875900017,unknown,False,False,0,0,15,0
132,0,0,0,0.5229816220616795,yellow,False,False,0,0,13,0
133,0,0,0,0.4008135376057844,red,False,False,0,0,8,0
134,0,0,0,0.39636472284736257,yellow,False,False,0,0,8,0
135,0,0,0,0.45140199184646557,unknown,False,False,0,0,5,0
136,0,0,0,0.4064097684785546,unknown,False,False,0,0,3,0
137,0,0,0,0.20354468753013477,unknown,False,False,0,0,5,0
138,0,0,0,0.16779878775683313,unknown,False,False,0,0,4,0
139,0,0,0,0.16224345012329133,unknown,False,False,0,0,3,0
140,0,0,0,0.3990075836177577,unknown,False,False,0,0,7,0
141,0,0,0,0.7241516090056082,unknown,False,False,0,0,6,0
142,0,0,0,0.9996778987471312,unknown,False,False,0,0,7,0
143,0,0,0,0.8994802186312731,unknown,False,False,0,0,7,0
