second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,2.219539876616558,unknown,False,False,0,0,5,0
1,0,0,0,0.45047456909004163,unknown,False,False,2,0,3,0
2,0,0,0,0.7206274345948276,unknown,False,False,0,0,2,0
3,0,0,0,0.6116326254306311,unknown,False,False,0,0,2,0
4,1,0,1,0.11499805568045915,unknown,False,False,0,0,2,0
5,1,0,1,0.40859543099765266,unknown,False,False,1,0,2,0
6,1,0,1,1.323056248843235,unknown,False,False,0,0,4,0
7,1,0,1,0.5887260737714951,unknown,False,False,1,0,4,0
8,0,0,0,0.8320473228070229,unknown,False,False,0,0,2,0
9,0,0,0,1.3315084330402427,unknown,False,False,0,0,4,0
10,0,0,0,0.7053145853898704,unknown,False,False,1,0,2,0
11,0,0,0,0.41355248728870553,unknown,False,False,0,0,5,0
12,1,0,1,0.5221472001189142,unknown,False,False,1,0,3,0
13,1,0,1,1.2889665868562212,unknown,False,False,1,0,4,0
14,2,0,2,1.2928502077777628,unknown,False,False,1,0,6,0
15,1,0,1,0.670927777848756,unknown,False,False,0,0,4,0
16,1,0,1,0.364491217684145,unknown,False,False,0,0,3,0
17,0,0,0,0.5503119656323571,unknown,False,False,2,0,5,0
18,2,0,2,0.3676979582817812,unknown,False,False,1,0,8,0
19,2,0,2,0.2827768819805109,unknown,False,False,2,0,5,0
20,2,0,2,0.9319935053947016,unknown,False,False,3,0,5,0
21,2,0,2,0.7307177250363812,unknown,False,False,3,0,9,0
22,3,0,3,0.3870209540767372,unknown,False,False,3,0,7,0
23,3,0,3,0.4833607280615409,unknown,False,False,3,0,9,0
24,2,1,3,0.49899933627929643,unknown,False,False,3,0,11,0
25,3,0,3,0.4480186498399598,unknown,False,False,3,0,8,0
26,4,0,4,0.6225358279307881,unknown,False,False,3,0,9,0
27,3,0,3,0.8016632277292375,unknown,False,False,1,0,6,0
28,3,0,3,0.8970093340357946,unknown,False,False,0,0,13,0
29,0,0,0,0.8720573391466045,unknown,False,False,0,0,11,0
30,0,0,0,0.8544242839889572,unknown,False,False,0,0,10,0
31,0,0,0,0.905958719202486,unknown,False,False,0,0,11,0
32,0,0,0,1.1583924698701127,unknown,False,False,0,0,7,0
33,0,0,0,1.1958505760930924,unknown,False,False,0,0,10,0
34,0,0,0,1.115229186585178,unknown,False,False,0,0,10,0
35,0,0,0,1.400400458669755,unknown,False,False,0,0,8,0
36,0,0,0,0.9364665729972058,unknown,False,False,0,0,10,0
37,0,0,0,0.945793797274679,unknown,False,False,0,0,7,0
38,0,0,0,0.7022094188400084,unknown,False,False,0,0,9,0
39,0,0,0,1.0709820597471715,unknown,False,False,0,0,13,0
40,0,0,0,1.4374396148658513,unknown,False,False,0,0,13,0
41,0,0,0,1.0092187114454594,unknown,False,False,0,0,15,0
42,0,0,0,0.6685268668372735,unknown,False,False,3,0,14,0
43,0,0,0,0.9229074679208781,unknown,False,False,0,0,11,0
44,0,0,0,1.2738246226479064,unknown,False,False,0,0,12,0
45,0,0,0,1.6269117840900886,unknown,False,False,0,0,9,0
46,0,0,0,1.49938117071812,unknown,False,False,0,0,9,0
47,0,0,0,0.6315911610935171,unknown,False,False,0,0,10,0
48,0,0,0,0.5980811894196724,unknown,False,False,0,0,11,0
49,0,0,0,1.1203759796213808,unknown,False,False,0,0,12,0
50,0,0,0,1.7263677210680781,unknown,False,False,0,0,11,0
51,0,0,0,1.6438662256073644,unknown,False,False,0,0,9,0
52,0,0,0,1.097620259858648,unknown,False,False,0,0,14,0
53,0,0,0,0.9672061430291886,unknown,False,False,0,1,12,0
54,0,0,0,0.6587948892432018,unknown,False,False,0,0,16,0
55,0,0,0,0.5886787742833886,unknown,False,False,0,0,13,0
56,0,0,0,0.43087185478647744,unknown,False,False,0,0,9,0
57,0,0,0,0.2961415087475871,unknown,False,False,0,0,13,0
58,0,0,0,0.35817600591497223,unknown,False,False,0,0,12,0
59,0,0,0,0.4164401928601607,unknown,False,False,0,0,10,0
60,0,0,0,0.5363547464798065,unknown,False,False,0,0,8,0
61,1,0,1,0.6713823912885419,unknown,False,False,0,0,4,0
62,0,0,0,1.5781325108481918,unknown,False,False,0,0,4,0
63,1,0,1,1.1915195749527216,unknown,False,False,1,0,5,0
64,1,0,1,0.9586423519333368,unknown,False,False,0,0,9,0
65,0,0,0,0.7644505472417482,unknown,False,False,0,0,10,0
66,0,0,0,0.9376449709580258,unknown,False,False,0,0,10,0
67,0,0,0,1.15404453366683,unknown,False,False,0,0,11,0
68,0,0,0,0.9829154896185672,unknown,False,False,0,0,12,0
69,0,0,0,0.973423374924943,unknown,False,False,0,0,12,0
70,0,0,0,0.7467997124216836,unknown,False,False,0,0,10,0
71,0,0,0,0.7673656866589376,unknown,False,False,0,0,10,0
72,0,0,0,1.1433433817930432,unknown,False,False,0,0,10,0
73,0,0,0,1.115686720693605,unknown,False,False,0,0,16,0
74,0,0,0,0.5073950933518496,unknown,False,False,0,0,12,0
75,0,0,0,0.5639367105378793,unknown,False,False,0,0,15,0
76,0,0,0,0.38081553051291694,unknown,False,False,0,0,14,0
77,0,0,0,0.9093264287749616,unknown,False,False,0,0,15,0
78,0,0,0,0.549433139743438,unknown,False,False,1,0,12,0
